dataset,angle_deg,calculation_angle_deg,experimental,fitted
reflectivity,11.75,12.041207256020318,0.00014805,8.620944838266336e-05
reflectivity,11.8,12.091207256020319,0.00015123,8.518379967306479e-05
reflectivity,11.85,12.141207256020317,0.00016395,0.00013618150914843403
reflectivity,11.9,12.191207256020318,0.00019257,0.0002316951021436852
reflectivity,11.95,12.241207256020317,0.00022278,0.0003085348163475597
reflectivity,12.0,12.291207256020318,0.0002196,0.0003116666812499543
reflectivity,12.05,12.341207256020319,0.00020847,0.000263879176490524
reflectivity,12.1,12.391207256020317,0.00022437,0.0002572378537075571
reflectivity,12.15,12.441207256020318,0.0002196,0.00035912111420576096
reflectivity,12.2,12.491207256020317,0.00025776,0.0005259748124408509
reflectivity,12.25,12.541207256020318,0.00025935,0.000627898502094865
reflectivity,12.3,12.591207256020319,0.00025458,0.0005786563305367121
reflectivity,12.35,12.641207256020317,0.00024822,0.0004438204047174681
reflectivity,12.4,12.691207256020318,0.00028638,0.0004001915247570865
reflectivity,12.45,12.741207256020317,0.000315,0.0005603822384785366
reflectivity,12.5,12.791207256020318,0.00037065,0.0008280380190034888
reflectivity,12.55,12.841207256020319,0.00038337,0.0009512420037172265
reflectivity,12.6,12.891207256020317,0.0003468,0.0007666975871874333
reflectivity,12.65,12.941207256020318,0.00034362,0.0004332792369570114
reflectivity,12.7,12.991207256020317,0.00061393,0.0004308447443909312
reflectivity,12.75,13.041207256020318,0.0014709,0.0012777524541727854
reflectivity,12.8,13.091207256020319,0.0030944,0.0031552538373598106
reflectivity,12.85,13.141207256020317,0.0054683,0.005725648302133041
reflectivity,12.9,13.191207256020318,0.0081745,0.008287915508575558
reflectivity,12.95,13.241207256020317,0.010733,0.010139030305910643
reflectivity,13.0,13.291207256020318,0.01242,0.010869403501135159
reflectivity,13.05,13.341207256020319,0.012808,0.010437978485004076
reflectivity,13.1,13.391207256020317,0.011773,0.009079343658604787
reflectivity,13.15,13.441207256020318,0.0097391,0.007178430051192073
reflectivity,13.2,13.491207256020317,0.0072793,0.00518176296339335
reflectivity,13.25,13.541207256020318,0.0051264,0.0035167752729415892
reflectivity,13.3,13.591207256020319,0.003565,0.002475149062101574
reflectivity,13.35,13.641207256020317,0.0026492,0.002093354360241281
reflectivity,13.4,13.691207256020318,0.0022357,0.002133981613981888
reflectivity,13.45,13.741207256020317,0.0019957,0.002227389347353587
reflectivity,13.5,13.791207256020318,0.0017381,0.002098023629145915
reflectivity,13.55,13.841207256020319,0.0013755,0.0017144246334492169
reflectivity,13.6,13.891207256020317,0.0010162,0.0012567861344587722
reflectivity,13.65,13.941207256020318,0.00074908,0.0009401669389866956
reflectivity,13.7,13.991207256020317,0.00055509,0.0008415248216964874
reflectivity,13.75,14.041207256020318,0.00047718,0.0008644592669076489
reflectivity,13.8,14.091207256020319,0.000474,0.0008497619717586949
reflectivity,13.85,14.141207256020317,0.00044856,0.0007169659058891359
reflectivity,13.899999999999999,14.191207256020316,0.00036906,0.0005130502516487095
reflectivity,13.95,14.241207256020317,0.00024981,0.00034444527219728546
reflectivity,14.0,14.291207256020318,0.00018939,0.00027283415161013174
reflectivity,14.05,14.341207256020319,0.00012897,0.0002717598453269801
C 1s,11.72,11.995076888135893,1.0022507206960194,0.9848514162893466
C 1s,11.76,12.035076888135892,1.001583288070558,0.9858207974502667
C 1s,11.8,12.075076888135893,1.00106757967183,0.984335684934305
C 1s,11.84,12.115076888135892,1.000931549679343,0.9818617173850366
C 1s,11.88,12.155076888135893,0.9978233686274662,0.9809551564549466
C 1s,11.92,12.195076888135892,0.9955170979468329,0.9833024290867042
C 1s,11.96,12.235076888135893,1.0085339597918201,0.9883097896127397
C 1s,12.0,12.275076888135892,1.0107658983733248,0.9933971232533299
C 1s,12.040000000000001,12.315076888135893,0.9995219909666904,0.9958877681416098
C 1s,12.08,12.355076888135892,1.0136219016258765,0.9951239457968502
C 1s,12.120000000000001,12.395076888135893,0.9981850444325695,0.9931555718244054
C 1s,12.16,12.435076888135892,1.0124963916315568,0.9933351163444327
C 1s,12.200000000000001,12.475076888135893,1.0128951328824767,0.9977412682462363
C 1s,12.24,12.515076888135892,1.0184660959603549,1.0053637936681907
C 1s,12.280000000000001,12.555076888135893,1.0127214440365058,1.0125635140826308
C 1s,12.32,12.595076888135893,1.0275420172034557,1.0156739450622911
C 1s,12.360000000000001,12.635076888135893,1.008726341830913,1.0139171975448973
C 1s,12.4,12.675076888135893,1.0214705672821063,1.0103663877862286
C 1s,12.440000000000001,12.715076888135894,1.0228761958768267,1.0099455657473484
C 1s,12.48,12.755076888135893,1.0224252847088875,1.015646280430575
C 1s,12.52,12.795076888135892,1.0331819278388703,1.0257117765893622
C 1s,12.56,12.835076888135893,1.039908615590468,1.0341975135686414
C 1s,12.6,12.875076888135892,1.060186734855471,1.0350608991508623
C 1s,12.64,12.915076888135893,1.0476548603348665,1.0272567332497409
C 1s,12.68,12.955076888135892,1.0101183318214766,1.017151774246108
C 1s,12.72,12.995076888135893,1.0151419532156092,1.0158773159791425
C 1s,12.76,13.035076888135892,1.037843169933569,1.0323959340164846
C 1s,12.8,13.075076888135893,1.087778795191092,1.0662414364606903
C 1s,12.84,13.115076888135892,1.1553300340814028,1.1049144157342683
C 1s,12.88,13.155076888135893,1.1985339409892948,1.128550519366773
C 1s,12.92,13.195076888135892,1.2149913483578914,1.1198409352257206
C 1s,12.96,13.235076888135893,1.165866354651026,1.0735300989593477
C 1s,13.0,13.275076888135892,1.084050355997232,0.9999397283785343
C 1s,13.040000000000001,13.315076888135893,1.0078218209376761,0.9206501536694474
C 1s,13.08,13.355076888135892,0.9289571903603614,0.8589115850961685
C 1s,13.120000000000001,13.395076888135893,0.8977214199761568,0.8298353989628187
C 1s,13.16,13.435076888135892,0.8966693515861418,0.8350395860775413
C 1s,13.2,13.475076888135892,0.9021445456328904,0.8639002464616308
C 1s,13.24,13.515076888135892,0.9406021843911944,0.900244604118767
C 1s,13.28,13.555076888135892,0.9501204773133213,0.9306772715654859
C 1s,13.32,13.595076888135893,0.9548295919377391,0.9500658435086042
C 1s,13.36,13.635076888135892,0.9587240206149659,0.9615659314938064
C 1s,13.4,13.675076888135893,0.974508527280844,0.9719895771077722
C 1s,13.44,13.715076888135892,0.9708511999068018,0.9860822906486828
C 1s,13.48,13.755076888135893,0.9934366612646528,1.0034680067241093
C 1s,13.52,13.795076888135892,1.00183218032653,1.0197142429590424
C 1s,13.56,13.835076888135893,1.0242642760571397,1.0300633602621796
C 1s,13.6,13.875076888135892,1.027268199381064,1.0328915138213046
C 1s,13.64,13.915076888135893,1.0200213096497013,1.0305952743644857
C 1s,13.68,13.955076888135892,1.000679172869696,1.027624185069185
C 1s,13.72,13.995076888135893,1.009676605637321,1.0273265468735602
C 1s,13.76,14.035076888135892,1.0066471195617521,1.0299051993024366
C 1s,13.8,14.075076888135893,1.0015221546110062,1.0327791299211189
C 1s,13.84,14.115076888135892,1.018720138492647,1.0328423264641897
C 1s,13.879999999999999,14.155076888135891,1.0065666195689342,1.02884302779164
C 1s,13.92,14.195076888135892,1.0090927490065775,1.0222070370175331
C 1s,13.96,14.235076888135893,0.9992525839193143,1.0158790191740439
C 1s,14.0,14.275076888135892,0.984256033468152,1.0121769593402252
C 1s,14.04,14.315076888135891,0.9933294633454381,1.0112589275554225
C 1s,14.08,14.355076888135892,1.0083025156755632,1.011239204580747
Ni 3p,11.72,11.995076888135893,1.0041566238716877,0.9996559711630214
Ni 3p,11.76,12.035076888135892,0.9933960702654152,0.9999163271097903
Ni 3p,11.8,12.075076888135893,1.0056213940390624,1.000172063764073
Ni 3p,11.84,12.115076888135892,0.9968897685704337,0.999454086391897
Ni 3p,11.88,12.155076888135893,0.9976353594194588,0.997507783893854
Ni 3p,11.92,12.195076888135892,1.0022209975681688,0.9950443240308267
Ni 3p,11.96,12.235076888135893,1.0055356538000453,0.9932503528169806
Ni 3p,12.0,12.275076888135892,0.9859032362769592,0.9928939360722017
Ni 3p,12.040000000000001,12.315076888135893,0.9983389437849256,0.9936995660668744
Ni 3p,12.08,12.355076888135892,0.9870749185726523,0.9944983974807949
Ni 3p,12.120000000000001,12.395076888135893,0.9833745010713809,0.9940918058452123
Ni 3p,12.16,12.435076888135892,0.982781866312674,0.9922069548584453
Ni 3p,12.200000000000001,12.475076888135893,0.9822947925828736,0.9898018500683226
Ni 3p,12.24,12.515076888135892,0.9820705447333872,0.988423925200524
Ni 3p,12.280000000000001,12.555076888135893,0.9826655379489239,0.9890420463617378
Ni 3p,12.32,12.595076888135893,0.9988732796493189,0.9912208917957207
Ni 3p,12.360000000000001,12.635076888135893,0.9900805689749147,0.9933199888478937
Ni 3p,12.4,12.675076888135893,0.9919100545543483,0.9936718292976888
Ni 3p,12.440000000000001,12.715076888135894,0.9971408550488807,0.9919281488941541
Ni 3p,12.48,12.755076888135893,0.9841466187883449,0.9895305902191036
Ni 3p,12.52,12.795076888135892,0.9883553424877526,0.9888024949661186
Ni 3p,12.56,12.835076888135893,0.9884190913286951,0.9911639780181569
