depth_A,C,La,Ni
0.0,0.5,0.0,0.0
0.19998682218610933,0.517958162504018,0.0,0.0
0.39997364437221866,0.5358799548225145,0.0,0.0
0.599960466558328,0.5537292275994725,0.0,0.0
0.7999472887444373,0.5714702709047013,0.0,0.0
0.9999341109305466,0.5890680283953883,0.0,0.0
1.199920933116656,0.6064883049039114,0.0,0.0
1.3999077553027652,0.6236979654054416,0.0,0.0
1.5998945774888746,0.9999575709585863,4.2429041413716284e-05,4.2429041413716284e-05
1.799881399674984,0.9999247566076197,7.524339238029754e-05,7.524339238029754e-05
1.9998682218610933,0.9998690231940488,0.00013097680595119954,0.00013097680595119954
2.1998550440472027,0.9997761969097587,0.0002238030902412258,0.0002238030902412258
2.399841866233312,0.9996245862277896,0.00037541377221039784,0.00037541377221039784
2.5998286884194215,0.9993817619192064,0.0006182380807936427,0.0006182380807936427
2.7998155106055305,0.9990003817933217,0.0009996182066782655,0.0009996182066782655
2.99980233279164,0.9984129905008139,0.001587009499186054,0.001587009499186054
3.1997891549777493,0.9975258334431893,0.0024741665568105975,0.0024741665568105975
3.3997759771638587,0.9962118887305207,0.0037881112694793106,0.0037881112694793106
3.599762799349968,0.9943035421362387,0.005696457863761328,0.005696457863761328
3.799749621536077,0.9915855949748487,0.008414405025151395,0.008414405025151395
3.9997364437221865,0.9877895760650565,0.012210423934943537,0.012210423934943537
4.199723265908296,0.9825905818258882,0.017409418174111735,0.017409418174111735
4.399710088094405,0.9756080339027523,0.024391966097247697,0.024391966097247697
4.599696910280515,0.9664117548358115,0.0335882451641884,0.0335882451641884
4.799683732466624,0.9545345569123505,0.04546544308764955,0.04546544308764955
4.999670554652734,0.9394920753508601,0.0605079246491399,0.0605079246491399
5.199657376838843,0.9208098489593826,0.0791901510406175,0.0791901510406175
5.3996441990249515,0.898056704310241,0.10194329568975902,0.10194329568975902
5.599631021211061,0.8708824343951149,0.12911756560488513,0.12911756560488513
5.79961784339717,0.8390567313269789,0.1609432686730211,0.1609432686730211
5.99960466558328,0.8025055180751078,0.19749448192489216,0.19749448192489216
6.199591487769389,0.7613404099474385,0.23865959005256154,0.23865959005256154
6.399578309955499,0.7158771681988485,0.2841228318011515,0.2841228318011515
6.599565132141608,0.6666397561888199,0.3333602438111801,0.3333602438111801
