1.065251705810927087e+05 1.126789943487151031e+05 3.608305612844660063e+05
1.066417813276222005e+05 1.120296299815656093e+05 3.630672377332550241e+05
1.067586461922482995e+05 1.139638192388944008e+05 3.652773482837460469e+05
1.069002131809513958e+05 1.135155499974198028e+05 3.686619049737500027e+05
1.067082183339931071e+05 1.141327005263018946e+05 3.696971378356419737e+05
1.065856291426276002e+05 1.151825537277409021e+05 3.721005686726870481e+05
1.080891589785210963e+05 1.160809901135852997e+05 3.730628926819859771e+05
1.084226501096568973e+05 1.143126724459713005e+05 3.724727289905500365e+05
1.072941213488088979e+05 1.162495079436642118e+05 3.744108100564840133e+05
1.088704818718997121e+05 1.154179456088643055e+05 3.771632885481079575e+05
1.072586586967181065e+05 1.154542349855383945e+05 3.782766212835320039e+05
1.088274796235109970e+05 1.158440778636914038e+05 3.790638174754480133e+05
1.088855000929037924e+05 1.162365914759299922e+05 3.805560149428820005e+05
1.094836686601350957e+05 1.166506146235690976e+05 3.819052980899360264e+05
1.088495632723548915e+05 1.171528428772889019e+05 3.818011572875840357e+05
1.104096122341029986e+05 1.195143697953746014e+05 3.850006104413740104e+05
1.083397680679716868e+05 1.188784586962985923e+05 3.853601534260730259e+05
1.096438283420309017e+05 1.195056644284883951e+05 3.875968703724920051e+05
1.097138960092712950e+05 1.205361551092438021e+05 3.892894425524519756e+05
1.095687420327510044e+05 1.193511696808201086e+05 3.895865471855399664e+05
1.106074940071306046e+05 1.202396835896506091e+05 3.916484119368239772e+05
1.111966021745175967e+05 1.206162443748142978e+05 3.965203550741240033e+05
1.132147469622291101e+05 1.231277491936240112e+05 3.995551017990629771e+05
1.117116869699576055e+05 1.247096362343298970e+05 4.042412383841290139e+05
1.075344306289105007e+05 1.231849902322525013e+05 4.049862282548979856e+05
1.078777359182164946e+05 1.241151408952841884e+05 4.020481351351729827e+05
1.100781300126168935e+05 1.217144023759081028e+05 3.989546347876830259e+05
1.151352463257828931e+05 1.228747293453652092e+05 3.985452215315110516e+05
1.220129380958224938e+05 1.236044299628044973e+05 4.020669606524080154e+05
1.262744706176019972e+05 1.301556459173741023e+05 4.123418678299810272e+05
1.276840387692236109e+05 1.354157319833603106e+05 4.264970877420690376e+05
1.221919807262242975e+05 1.410461884642209043e+05 4.422532556514700409e+05
1.132936747231916961e+05 1.422435419463205035e+05 4.502811343557840446e+05
1.050106683138305962e+05 1.423305544568586920e+05 4.532209989679920254e+05
9.648713212011349970e+04 1.388400572304984962e+05 4.478203797589530004e+05
9.293284713104279945e+04 1.340237117218878120e+05 4.380712684340729611e+05
9.250030731247299991e+04 1.301102574585693073e+05 4.254137617870150134e+05
9.272539317864799523e+04 1.257167148788863997e+05 4.149092932722850237e+05
9.630924719733209349e+04 1.245004042091166048e+05 4.097824511421120260e+05
9.689627174771089631e+04 1.245833900136524026e+05 4.058295636758670444e+05
9.697208297253180353e+04 1.242855389314251079e+05 4.058252342426179675e+05
9.694649511535480269e+04 1.239599671319068002e+05 4.067281542377860169e+05
9.809932935158989858e+04 1.237346598124289012e+05 4.036383025343139889e+05
9.727432056132779690e+04 1.233819310209983960e+05 4.034819856429570355e+05
9.905423869039390411e+04 1.242108731547880016e+05 4.021730951668430353e+05
9.938854221236999729e+04 1.230733865600356075e+05 4.021878263915820280e+05
1.010838552097381908e+05 1.247690997237068077e+05 4.010259730382389971e+05
1.008325632398538000e+05 1.254075742376759008e+05 4.063809159314490389e+05
9.956137882971198997e+04 1.252552251172898978e+05 4.063763615813220385e+05
9.710853284471129882e+04 1.280621439670406980e+05 4.073487914640299859e+05
9.739585923188939341e+04 1.253554185530495015e+05 4.076057979867040413e+05
9.650381094493859564e+04 1.251346782003510889e+05 4.062609594619509880e+05
9.540004913558060070e+04 1.268060445731309010e+05 4.066885525482529774e+05
9.639932282463629963e+04 1.274340082399529929e+05 4.080878081212659599e+05
9.460219733341060055e+04 1.287117463214220043e+05 4.102166678702699719e+05
9.417512338721900596e+04 1.287686377206042962e+05 4.121413208463379997e+05
9.258311195415900147e+04 1.303279707441971987e+05 4.132496513332800241e+05
9.051467773513120483e+04 1.291662407643531042e+05 4.123306781022889772e+05
9.064830810759089945e+04 1.289972236001908022e+05 4.116229522447970230e+05
9.128756377459521173e+04 1.289350039475562953e+05 4.101416503913019551e+05
