evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1.020000000000000000e+02,4.589839383243472098e-02,5.871154679804009048e-03,1.509799535059047453e-03,2.050150564153707406e-03,1.614148309744722620e-01,2.935577339902004524e-03,4.529398605177142358e-03,6.150451692461122652e-03,3.228296619489445102e-02,1.204801999847404659e-01,2.704730001278221607e-02,5.426790000637993217e-02,1.282000448554754257e-04,3.901649999897927046e-02,7.581043791942035703e+00,4.969015916216646955e-01,6.500000000000000000e+01,3.000000000000000000e+01,9.025336615777848626e-02,1.675360969348229290e+01,1.850000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,2.000000000000000000e+01,4.677055962966424119e+00,4.098796833912044413e+00,4.579183987641758158e+00,3.666376079021131495e+00,4.054921686751976395e+00,-2.999999999999999889e-01,2.783240983120340295e-01
1.030000000000000000e+02,4.714896413995005309e-02,9.894743787353200981e-03,1.597115530089183565e-03,1.948542735568811095e-03,1.578230872464973511e-01,4.947371893676600491e-03,4.791346590267550262e-03,5.845628206706433502e-03,3.156461744929946883e-02,2.052023999858647585e-01,4.627079999772831798e-02,9.062159998575225472e-02,1.594999921508133411e-04,6.812309997621923685e-02,1.227247228230479692e+01,5.920345497171618510e-01,6.500000000000000000e+01,3.000000000000000000e+01,8.460418686305073432e-01,1.711934544402165415e+01,1.685442957994267488e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.120931970928891808e+01,2.000000000000000000e+01,2.945578565494105128e+00,4.388499539166299535e+00,3.864024094118951425e+00,3.607583533297300526e+00,2.711342042522279616e+00,-2.999999999999999889e-01,-1.976309216229964749e-01
1.040000000000000000e+02,3.863565947047182397e-02,1.057252786032845428e-02,1.995229541718446416e-03,2.437080197872385900e-03,1.002623316076754895e-01,5.286263930164227139e-03,5.985688625155339247e-03,7.311240593617157266e-03,2.005246632153509859e-02,1.137645000126212835e-01,2.388720004819333553e-02,5.057100002886727452e-02,1.375000574626028538e-04,3.914880001684650779e-02,4.239138157217600344e+00,4.385677465069712233e-01,6.500000000000000000e+01,3.000000000000000000e+01,7.820433863751331538e-01,1.670853169346822398e+01,1.731965856939924464e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.650230928433677491e+01,2.000000000000000000e+01,4.744434985526334358e+00,3.804040727056016813e+00,3.486591194024607265e+00,3.371251211178007523e+00,4.015981985639767160e+00,-8.932125868199242147e-02,6.582619703087105867e-02
1.050000000000000000e+02,8.513455723688696797e-02,1.127751672981048420e-02,2.646052562322238986e-03,3.189047904037421288e-03,3.099524873645136958e-01,5.638758364905242099e-03,7.938157686966717391e-03,9.567143712112263429e-03,6.199049747290274331e-02,1.149403000017628074e-01,3.338340000482276082e-02,4.865160002373158932e-02,1.242999569512903690e-04,3.275879996363073587e-02,9.838576841439131471e+00,2.099556945670919827e-01,6.500000000000000000e+01,3.000000000000000000e+01,4.322255194843991483e-02,1.850000000000000000e+01,1.695929340988936218e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,2.000000000000000000e+01,2.233206514091518269e+00,2.655792074203072950e+00,2.141411449506974485e+00,2.754063479425773675e+00,2.016554234996898565e+00,-2.999999999999999889e-01,-1.544225339850374412e-01
1.060000000000000000e+02,3.208661472064863740e-02,8.728021837178604955e-03,1.630932332163630236e-03,2.150192435713314809e-03,8.189614749214250977e-02,4.364010918589302478e-03,4.892796996490891143e-03,6.450577307139944427e-03,1.637922949842850195e-02,1.158279000665061176e-01,2.495550003368407488e-02,5.137800000375136733e-02,1.220999984070658684e-04,3.934890002710744739e-02,5.067031685284256071e+00,6.431667150509717823e-01,6.500000000000000000e+01,1.859002658952741971e+00,3.895898877953647976e-01,1.657309180031863605e+01,1.756913623576316041e+01,2.328423248994569317e+00,0.000000000000000000e+00,2.507060462893653607e+01,2.000000000000000000e+01,2.573236406723962588e+00,4.506408093766127720e+00,4.746981891874288095e+00,3.388063070254191622e+00,3.625219246464723710e+00,-1.799986449106640296e-01,6.199820197000066591e-02
1.070000000000000000e+02,7.630769461088392214e-02,8.233885075967039766e-03,2.552756872872926058e-03,3.316852878421530301e-03,2.729096140950851845e-01,4.116942537983519883e-03,7.658270618618777739e-03,9.950558635264590904e-03,5.458192281901703968e-02,1.189610000001266599e-01,2.921459998469799757e-02,5.189850000897422433e-02,6.809999467805027962e-05,3.776149993063881993e-02,1.132899229759533810e+01,1.176108613022607552e-01,4.500000000000000000e+01,2.867507499597457610e+01,4.468052282798944397e-01,1.772746918272293470e+01,1.630935084708458049e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,2.000000000000000000e+01,3.578133007580375669e+00,2.259909579441719440e+00,4.705706899777533536e+00,3.315970037958997807e+00,1.232088164472434189e+00,2.999999999999999889e-01,-8.190342491070015662e-02
1.080000000000000000e+02,1.215356965857669752e-01,7.146371558541290796e-03,2.436540022523075045e-03,3.001195219424471119e-03,5.082465254032684232e-01,3.573185779270645398e-03,7.309620067569225568e-03,9.003585658273412923e-03,1.016493050806536874e-01,1.188002999406307936e-01,3.375719999894499779e-02,5.245239997748285532e-02,1.127000432461500168e-04,3.245409997180104256e-02,1.243330446840754355e+01,9.721729389592078663e-01,6.500000000000000000e+01,3.000000000000000000e+01,6.794828942331641031e-01,1.618584000414332991e+01,1.850000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.508953238264555807e+01,2.000000000000000000e+01,4.304161426580510152e+00,4.105161028919178889e+00,2.040514996463511643e+00,3.509390842525775156e+00,4.985379128680656358e+00,-2.020443240384173222e-01,-5.983149233346030105e-03
1.090000000000000000e+02,8.355577318425852495e-02,8.536167345330475040e-03,2.302571286841114014e-03,2.961939882445113748e-03,3.174707800186730156e-01,4.268083672665237520e-03,6.907713860523342041e-03,8.885819647335341243e-03,6.349415600373460589e-02,1.094518000027164817e-01,2.576930000213906169e-02,4.818009998416528106e-02,8.430000161752104759e-05,3.540200000861659646e-02,1.298126102323892361e+01,5.528460555796164133e-01,6.500000000000000000e+01,6.602673423601443936e+00,5.504871784676408364e-01,1.562279363732623239e+01,1.850000000000000000e+01,1.026481847912734446e+00,2.047765707864821483e+00,3.900000000000000000e+01,2.000000000000000000e+01,3.617786150650223576e+00,4.166526021084488107e+00,3.173297392177278020e+00,4.393445867372687275e+00,1.965063260858936900e+00,-2.490393963691827917e-01,1.572205731451528643e-01
1.100000000000000000e+02,4.131768619715760205e-02,1.065281381349549548e-02,2.010922910519673604e-03,2.602989045435660440e-03,1.107477171127192600e-01,5.326406906747747742e-03,6.032768731559020811e-03,7.808967136306981319e-03,2.214954342254385478e-02,1.916851000278256834e-01,4.408600000897422433e-02,7.468620000872761011e-02,1.581999822519719601e-04,7.272649998776614666e-02,6.373605988694711399e+00,6.391729194074022846e-01,6.500000000000000000e+01,8.099066879287635246e+00,8.460506822705130547e-01,1.850000000000000000e+01,1.451557345751545824e+01,2.661832221118253905e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.873357127859030413e+00,4.395631326582204679e+00,2.947833002890159815e+00,2.759891500139654674e+00,2.550142547625873668e+00,-2.999999999999999889e-01,3.059009979545779245e-04
1.110000000000000000e+02,2.850306056431279322e-01,6.097359307852444170e-03,1.126775142529415352e-03,1.566563508967469499e-03,1.369509550173555024e+00,3.048679653926222085e-03,3.380325427588246057e-03,4.699690526902408280e-03,2.739019100347110380e-01,1.077546000014990568e-01,2.497550001135095954e-02,5.100050003966316581e-02,1.556999632157385349e-04,3.159570001298561692e-02,1.127529318491912669e+01,2.613587463633598729e-01,6.500000000000000000e+01,1.971315828868099018e+01,3.373854515114589891e-01,1.850000000000000000e+01,1.300000000000000000e+01,1.742944649006063162e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,4.816637430042334245e+00,3.024668891588406350e+00,3.055382071340389860e+00,3.849708348429294436e+00,1.264872029847369017e+00,-9.860985678997022386e-02,6.774849329592846914e-02
