evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1.000000000000000000e+00,5.542643549591771968e-02,1.071510549076261538e-02,1.776724603769431077e-03,2.622030687384627103e-03,3.687261687707423796e-01,5.357552745381307692e-03,5.330173811308293666e-03,7.866092062153880876e-03,3.687261687707423657e-02,1.168370000668801367e-01,2.359019999857991934e-02,5.083890003152191639e-02,9.489996591582894325e-05,4.229170002508908510e-02,2.000000000000000000e+00,1.428571428571428492e-01,5.000000000000000000e+01,5.000000000000000000e+00,4.249999999999999889e-01,1.492999999999999972e+01,1.578999999999999915e+01,2.990000000000000213e+00,1.989999999999999991e+00,1.899999999999999911e+00,1.898000000000000043e+01,3.080000000000000071e+00,2.779999999999999805e+00,3.660000000000000142e+00,3.319999999999999840e+00,3.250000000000000000e+00,1.529999999999999971e-01,2.900000000000000147e-02
2.000000000000000000e+00,1.437959571998384256e-01,3.606817621101056446e-03,1.016902771917996837e-03,1.568086743990085253e-03,1.342375798415636368e+00,1.803408810550528223e-03,3.050708315753990728e-03,4.704260231970255543e-03,1.342375798415636479e-01,1.047565000480972230e-01,2.382240002043545246e-02,4.114590003155171871e-02,8.440000237897038460e-05,3.968819999136030674e-02,7.800882679377839857e+00,8.733871524282920129e-01,4.672868557777097465e+01,2.198721627743935869e+01,3.504782760049925394e-01,1.318680294196256675e+01,1.462490256267650324e+01,2.475732331786154039e-01,2.177862483349651157e+00,1.454054398141284210e+01,1.384395406034276199e+01,4.950941479449536331e+00,3.444590632306089084e+00,4.737616501799060131e+00,2.569629032639250799e+00,1.591895507336784199e+00,2.443604148270671073e-01,1.105950404769219242e-01
3.000000000000000000e+00,1.020989807286223211e-01,3.404559237305248513e-03,1.037084950002732263e-03,1.605904331004873913e-03,9.246773326694687212e-01,1.702279618652624256e-03,3.111254850008196571e-03,4.817712993014621956e-03,9.246773326694687767e-02,9.753720002481713891e-02,2.584389998810365796e-02,4.457090003415942192e-02,8.399999933317303658e-05,2.702160004992038012e-02,1.445047348804263798e+01,4.560509232026372928e-01,5.626282275033143065e+01,2.423868343241321810e+01,9.431776189526397403e-01,1.422847604903904184e+01,1.686616876865170411e+01,1.499835255844066850e+00,6.079821694530911369e-01,2.454521811972472989e+01,3.741675875554930197e+00,2.158854582219325469e+00,2.493104085197362707e+00,4.598679713934233249e+00,2.112286075459228751e+00,1.870566565530958902e+00,2.919366893931339413e-01,-1.962946872376993834e-01
4.000000000000000000e+00,6.876063769425484751e-02,6.079589465073974817e-03,1.435740025125156315e-03,1.998630009495723156e-03,5.541773285785521752e-01,3.039794732536987409e-03,4.307220075375468513e-03,5.995890028487169468e-03,5.541773285785522168e-02,1.031244000187143683e-01,2.635060000466182828e-02,4.493259999435395002e-02,7.309997454285621643e-05,3.175349999219179153e-02,3.580849407055379352e+00,5.454636022943281093e-01,5.343448869158453363e+01,1.864340106214814696e+01,7.894264757270975652e-01,1.809707569313498610e+01,1.447716678898247267e+01,9.127031881939680069e-01,2.212689655066708561e+00,3.622774330573385271e+01,1.390874692058112982e+00,4.808455395672652344e+00,3.712252498459106764e+00,2.456964084899559531e+00,2.791708120685533423e+00,4.270345498210192048e+00,1.355168984587839520e-01,-2.913008303932694276e-01
5.000000000000000000e+00,1.349258690296674390e-01,3.526278851871693723e-03,1.018115618533775406e-03,1.563778122974139812e-03,1.254170483792078405e+00,1.763139425935846862e-03,3.054346855601326217e-03,4.691334368922419652e-03,1.254170483792078350e-01,1.096874999930150807e-01,2.577099995687603951e-02,5.200150003656744957e-02,7.959996582940220833e-05,3.181600006064400077e-02,7.761594398849329224e+00,5.687256981061399319e-01,5.501393609095306658e+01,2.434084872991261506e+01,4.102212119714823135e-01,1.326723656541276597e+01,1.614228689982996556e+01,7.922613571644214758e-01,2.080582364137110396e+00,3.548370798696164741e+01,1.189446994186944373e+01,3.909590426978977185e+00,3.742303329589372840e+00,2.941344944270173123e+00,3.579012616107859479e+00,3.582957643370497713e+00,-1.600688005512720391e-01,-2.633190863726431741e-01
6.000000000000000000e+00,2.167925474983662185e-02,3.920724060436988311e-03,8.966136127349066389e-04,1.425446896606493612e-03,1.275271119159392674e-01,1.960362030218494155e-03,2.689840838204719808e-03,4.276340689819481053e-03,1.275271119159392813e-02,1.167565000359900296e-01,2.626949996920302510e-02,5.311719997553154826e-02,6.990000838413834572e-05,3.728639998007565737e-02,9.693965401871636800e+00,5.519875154532528638e-01,6.196031211980901787e+01,2.308704211443586374e+01,3.739910542603765431e-01,1.598823029303052223e+01,1.824970112486866114e+01,3.881874748480057535e-01,5.392788788225856556e-02,2.194674920084976577e+01,7.637579951188818050e+00,3.932326510622150550e+00,2.845358474351407096e+00,3.275769083636033585e+00,3.138351373134234734e+00,1.517569164022097183e+00,6.199609767551733652e-02,-2.567972259636934762e-01
7.000000000000000000e+00,2.616686378337542557e-02,4.300189459229612939e-03,6.423687483549895627e-04,1.044791706044448810e-03,1.895528769056230023e-01,2.150094729614806469e-03,1.927106245064968797e-03,3.134375118133346429e-03,1.895528769056230300e-02,1.024256999953649938e-01,2.354660001583397388e-02,4.730969999218359590e-02,1.157999504357576370e-04,3.143720002844929695e-02,6.704303721170563612e+00,4.546880494546579055e-01,6.305414063590625062e+01,8.822046001419522554e+00,9.121923151081769154e-02,1.682620717175728942e+01,1.678844933255953364e+01,1.427286790142064388e-01,9.558342987953010184e-01,3.567914823460179008e+01,1.762967980890793029e+01,3.576814300063410279e+00,2.708515135935377849e+00,2.395683906501918869e+00,3.641181202304519804e+00,4.494850510380692832e+00,8.893677999720300820e-02,-4.156068476434959802e-02
8.000000000000000000e+00,9.702011994581810628e-02,3.849012957047591530e-03,9.692639102183861705e-04,1.517007499783627148e-03,8.763679923728826537e-01,1.924506478523795765e-03,2.907791730655158620e-03,4.551022499350881878e-03,8.763679923728827370e-02,9.793429996352642775e-02,2.209909999510273337e-02,4.340759996557608247e-02,1.602999982424080372e-04,3.224539995426312089e-02,7.321317857041205635e+00,7.862786082732737825e-01,5.025976440352904717e+01,9.142122055972377481e+00,2.304798515256001670e-02,1.669854655716256531e+01,1.378749525967073097e+01,2.470615024486843558e-01,2.013396471749972161e+00,2.879615481466400695e+01,1.241823070178380561e+01,2.159116980248185325e+00,2.855798402486499299e+00,4.244157138172786503e+00,3.244773691605214783e+00,1.547031465455455113e+00,1.435202241362176778e-04,-2.073407376123042878e-01
9.000000000000000000e+00,4.524357076831919677e-02,4.808240365242359010e-03,6.021065682133828513e-04,1.108495966565956102e-03,3.770764298135999559e-01,2.404120182621179505e-03,1.806319704640148554e-03,3.325487899697868524e-03,3.770764298135999976e-02,9.931549994507804513e-02,2.678940002806484699e-02,4.522460000589489937e-02,7.150002056732773781e-05,2.721350005595013499e-02,2.992130516954287778e+00,9.223506025234010641e-01,4.843556487955591194e+01,1.576790881624972940e+01,1.951472540775400222e-01,1.596758852492970249e+01,1.740257465720908669e+01,5.574851895311406791e-01,9.400917293430122168e-01,3.197602297418546513e+00,1.264897454046992564e+01,2.996776955231394979e+00,4.708830482862925493e+00,3.686993575884811580e+00,3.240516592716780941e+00,1.989901867889880771e+00,2.114239774788839177e-01,4.405730955365855239e-02
1.000000000000000000e+01,2.966079406987301437e-02,9.047349054948604363e-03,2.360929890536911033e-03,2.789091543142558326e-03,9.687055241360302549e-02,4.523674527474302182e-03,7.082789671610733098e-03,8.367274629427674110e-03,9.687055241360303243e-03,1.008054999983869493e-01,2.270240004872903228e-02,4.847510001854971051e-02,1.002000644803047180e-04,2.951000002212822437e-02,1.035813255714731795e+01,9.128459654074534413e-01,5.700435527323833185e+01,1.819699286426695650e+01,6.421826313615613957e-01,1.563096739009418812e+01,1.748026530911317877e+01,1.514490838704042996e+00,1.266712246472901249e-03,1.144967109087526858e+00,1.837722549338929312e+01,2.487715662475554090e+00,2.686399258419004177e+00,4.703895822419113415e+00,4.893998883890621876e+00,3.721490729262038055e+00,-4.465318492773451275e-02,2.493785173297827229e-01
