 LaNiO3 Density=7.25
 Energy(eV), Delta, Beta
  111.937019 -0.00859818608  0.0306016523
  114.125671 -0.0188470744  0.0470268987
  116.357117 -0.0139409062  0.0736035928
  118.632187  0.00977649633  0.0884542987
  120.951752  0.0332571939  0.0848791078
  123.316658  0.0481041148  0.0730147585
  125.727798  0.052826304  0.0596386082
  128.186096  0.0533067957  0.0504751988
  130.692459  0.0529755652  0.0433538035
  133.247818  0.05187051  0.0376153924
  135.853149  0.0507052802  0.0328104198
  138.509415  0.0492627658  0.0282968618
  141.217621  0.0473901294  0.0243728086
  143.978775  0.0451741964  0.0209353622
  146.79393  0.0427290648  0.0181833841
  149.664124  0.0404097252  0.0161027201
  152.590424  0.0382886976  0.0143526541
  155.573944  0.0363178626  0.0128630036
  158.615814  0.0344671085  0.0115387524
  161.717148  0.0326837637  0.0103821112
  164.87912  0.0309754591  0.00939878356
  168.102921  0.0293582957  0.00855761953
  171.389755  0.0278330017  0.00783976726
  174.74086  0.0263922177  0.0072185453
  178.157471  0.0250185654  0.00671055773
  181.6409  0.023782244  0.00626993924
  185.192429  0.0226002373  0.00586336805
  188.813416  0.0214790571  0.00551298074
  192.505188  0.020404432  0.00522370264
  196.269135  0.0194186065  0.00499409623
  200.106689  0.0185000692  0.00480079185
  204.019287  0.0176702216  0.00463766651
  208.008377  0.0169034023  0.00446516182
  212.075455  0.0161806978  0.00429969979
  216.222061  0.0154969404  0.00413853396
  220.449738  0.0148481298  0.00398786552
  224.760086  0.0142347338  0.00384797808
  229.154709  0.0136585794  0.00371524342
  233.635254  0.0131098656  0.00357975834
  238.2034  0.0125829112  0.00345322164
  242.860886  0.0120806629  0.00333698862
  247.609436  0.0116066039  0.00322885299
  252.450806  0.0111583695  0.00312308013
  257.386871  0.0107297115  0.00302064209
  262.419403  0.0103214048  0.00292407931
  267.550354  0.00993413199  0.00283309491
  272.781647  0.0095683923  0.00274736644
  278.115204  0.00923157297  0.00266651693
  283.55307  0.00891856849  0.00256494433
  289.097229  0.00860481337  0.00245605642
  294.749786  0.00829508714  0.00234971731
  300.512909  0.00799200311  0.00224873656
  306.388702  0.00769736199  0.00215281639
  312.379364  0.00741110928  0.00206182152
  318.487152  0.00713466201  0.00197752984
  324.714386  0.00686890353  0.00189740967
  331.063354  0.00661291229  0.00182124542
  337.536469  0.00636653788  0.0017488118
  344.136139  0.00612972444  0.00167990674
  350.864868  0.00590251992  0.00161433802
  357.725159  0.00568612479  0.00155090587
  364.719574  0.00547704194  0.00148600072
  371.850769  0.00527356891  0.00142356043
  379.121399  0.0050762468  0.00136306707
  386.534149  0.00488493266  0.00130531227
  394.091858  0.00469977083  0.00125031488
  401.797333  0.00452070497  0.00119796512
  409.653473  0.00434837444  0.00114734122
  417.663239  0.0041808458  0.00109798089
  425.82959  0.00401812  0.00105097133
  434.15564  0.00386035279  0.0010062122
  442.64444  0.00370728713  0.000963587896
  451.299286  0.00355905364  0.000922987529
  460.123291  0.00341699854  0.000884308596
  469.119873  0.00327868364  0.000841953792
