evaluation,objective,reflectivity_raw,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset
1.100000000000000000e+01,3.596955848004758649e-01,3.596955848004758649e-01,3.596955848004758649e-01,1.386609899986069649e+00,1.370579499984160066e+00,0.000000000000000000e+00,5.339999916031956673e-05,1.596829999471083283e-02,1.521925479767621425e+02,1.344622753518979330e+01,1.524374010868236162e+01,2.490304214451319886e+00,2.570036135981580205e+00,1.693048078947923252e-01,5.326853848039079686e+00,3.136971400981587887e+00,2.702605851964634986e+00,3.483686624859370973e+00,3.860285328657582671e+00,2.676050902282730348e+00,1.178499631836333883e+00,1.181715491611071700e-01
1.200000000000000000e+01,3.802289844978392619e-01,3.802289844978392619e-01,3.802289844978392619e-01,1.520952000020770356e+00,1.505303799989633262e+00,0.000000000000000000e+00,5.460000829771161079e-05,1.558179999119602144e-02,1.863684107525984643e+02,1.623357139500921420e+01,1.700378507174512421e+01,2.607806400848370121e+00,2.573800969749812317e+00,1.257160863851935062e+01,8.693712981816851482e+00,2.758158841868756372e+00,4.650975364511461763e+00,4.675839208683000514e+00,3.184240409423400475e+00,3.554653374435863711e+00,3.829406654230598672e+00,-2.503727741240351912e-01
1.300000000000000000e+01,1.511126898092837179e-01,1.511126898092837179e-01,1.511126898092837179e-01,1.529157200013287365e+00,1.506688100023893639e+00,0.000000000000000000e+00,5.120001151226460934e-05,2.241040000808425248e-02,2.369296426188341229e+02,1.670525587376522125e+01,1.686882132124087974e+01,1.229390504710329068e+00,7.289693161248607112e-01,3.611447471329686465e+01,1.993522894719073690e+01,4.477710609721020418e+00,3.918931360569128941e+00,2.853668538707389679e+00,4.743840854531024220e+00,2.523580582008904116e+00,4.874080064873924201e+00,1.530057679711338547e-01
1.400000000000000000e+01,2.305757397044728707e-01,2.305757397044728707e-01,2.305757397044728707e-01,1.550932099984493107e+00,1.538499699992826208e+00,0.000000000000000000e+00,4.379998426884412766e-05,1.238229998853057623e-02,2.452861074939216337e+02,1.670312076770898102e+01,1.689473462179032026e+01,1.105034353549503578e-01,2.085878111293301806e+00,1.414632722857233560e+01,1.603502977013654629e+01,4.377848158308514037e+00,4.194853361998582386e+00,4.770125928683526695e+00,2.544372886476980344e+00,4.777728922006211576e+00,1.569896269251541021e+00,-1.099706280130175740e-01
1.500000000000000000e+01,1.404475131008736000e+00,1.404475131008736000e+00,1.404475131008736000e+00,1.426714900007937104e+00,1.412698200001614168e+00,0.000000000000000000e+00,3.719999222084879875e-05,1.397299999371170998e-02,2.310735547564215153e+02,1.697952549277138701e+01,1.334527100367135333e+01,2.156958677497637922e+00,2.043963845745545155e-02,8.663803766458610056e+00,4.685321954753642437e+00,3.791622706617819194e+00,2.835073684258760718e+00,2.241035848297238786e+00,3.221633750102137927e+00,4.747030833948688411e+00,2.825294997364854233e+00,1.071932800131234487e-01
1.600000000000000000e+01,2.571280441677896711e-01,2.571280441677896711e-01,2.571280441677896711e-01,1.504314199992222711e+00,1.490964099997654557e+00,0.000000000000000000e+00,4.990000161342322826e-05,1.329219999024644494e-02,1.748113369061004789e+02,1.672220055853559373e+01,1.602948546345277947e+01,2.049490546858488749e+00,5.710986496081604802e-01,6.622615013303271070e+00,1.069335231814056009e+01,2.120671336642834248e+00,4.954717560885454120e+00,2.324452747828173571e+00,4.970381186420778086e+00,4.938828085640270871e+00,3.017767091658824619e+00,-8.398038829779383430e-02
1.700000000000000000e+01,1.234742859576088092e+00,1.234742859576088092e+00,1.234742859576088092e+00,1.390652300004148856e+00,1.374241299985442311e+00,0.000000000000000000e+00,6.099999882280826569e-05,1.634229999035596848e-02,2.423338232881486363e+02,1.497424674917250798e+01,1.611773281363938182e+01,6.013897303385586923e-01,2.594978339397090217e+00,2.111408094260397306e+01,6.861997217844162833e+00,2.702550863182339391e+00,2.340851081579591764e+00,2.065869839424282262e+00,4.604021704763934686e+00,2.869738636742579008e+00,2.825155369561907825e+00,-2.704758022710001542e-01
1.800000000000000000e+01,3.094810414894078043e-01,3.094810414894078043e-01,3.094810414894078043e-01,1.639441100007388741e+00,1.624930999998468906e+00,0.000000000000000000e+00,5.060000694356858730e-05,1.445170000079087913e-02,1.800032509598901811e+02,1.742764728617084913e+01,1.639061022212705510e+01,2.290425824390386111e+00,1.442426108251234851e+00,1.675747406222421532e+01,1.729321734687037093e+01,2.174773815361152884e+00,4.524833474070912409e+00,2.573338266456529411e+00,2.014196939541176068e+00,4.035823812990041226e+00,3.626434242178242950e+00,-8.721792554077767434e-02
1.900000000000000000e+01,3.690651022118678348e-01,3.690651022118678348e-01,3.690651022118678348e-01,1.555563100002473220e+00,1.539862700010417029e+00,0.000000000000000000e+00,9.200000204145908356e-05,1.559890000498853624e-02,2.364871745521677440e+02,1.681955241977122029e+01,1.637046819395219188e+01,9.585323146319522092e-01,2.211833155850032373e+00,2.049619054149590269e+01,1.097595531657655243e+01,1.308246727859643688e+00,3.423108887311908433e+00,4.866619244548382461e+00,2.053352381694635298e+00,2.347738031648515467e+00,3.158248760757497831e+00,-2.808042333240723387e-01
2.000000000000000000e+01,5.720214868218466142e-01,5.720214868218466142e-01,5.720214868218466142e-01,1.412388900003861636e+00,1.396815800020704046e+00,0.000000000000000000e+00,4.129999433644115925e-05,1.552390001597814262e-02,1.631676525485947309e+02,1.681080738092904525e+01,1.599988805109154910e+01,2.325080375136172606e+00,4.186653073663287872e-01,2.964821413321243426e+01,3.066487135006310094e+00,3.467818809418403703e+00,2.231812282649266344e+00,3.711715501921272420e+00,2.163010223539314048e+00,3.637007684478386516e+00,1.611030545478194576e+00,-8.826980189090435913e-02
2.100000000000000000e+01,6.181201527833577458e-01,6.181201527833577458e-01,6.181201527833577458e-01,1.492515599995385855e+00,1.479437300004065037e+00,0.000000000000000000e+00,5.199998850002884865e-05,1.301910000620409846e-02,2.197170747982277135e+02,1.625346187241362017e+01,1.491367192479049031e+01,6.393490845882332518e-01,2.630189724436910570e+00,1.623811104509181646e+01,1.095457115134113479e+01,3.239798066465177317e+00,4.849737566179132209e+00,2.210826148995956864e+00,4.726248960002775057e+00,4.390392118220016293e+00,1.998360630868934562e+00,-4.766756341288241883e-02
2.200000000000000000e+01,1.260203022662873318e+00,1.260203022662873318e+00,1.260203022662873318e+00,1.280057900003157556e+00,1.262775700015481561e+00,0.000000000000000000e+00,3.640001523308455944e-05,1.723819997278042138e-02,1.807928525031797733e+02,1.364049147709832788e+01,1.323317048859334122e+01,1.388616358032121800e+00,2.290508768367404802e+00,7.208715878884143002e+00,1.569098317209533100e+01,4.283306465356393034e+00,4.645618636886990060e+00,2.514541683577802722e+00,3.845222572305870834e+00,2.163573579243768918e+00,4.299705392366599987e+00,6.548024150866776916e-02
2.300000000000000000e+01,1.273408038316138580e+00,1.273408038316138580e+00,1.273408038316138580e+00,1.384660399984568357e+00,1.367404700024053454e+00,0.000000000000000000e+00,6.189997657202184200e-05,1.718550000805407763e-02,2.321698038268281152e+02,1.571942000287551622e+01,1.553437066777413555e+01,1.887089341158886824e-01,1.024135958144339664e+00,2.794281069020280128e+01,2.033666966553340671e+00,1.649544404797113728e+00,4.997665501659652953e+00,3.126368736693556194e+00,2.576441703960698604e+00,3.877886534331517865e+00,3.945760028659473395e+00,-1.464389471825356670e-01
2.400000000000000000e+01,1.232704334152921799e+00,1.232704334152921799e+00,1.232704334152921799e+00,1.676146299985703081e+00,1.658410699979867786e+00,0.000000000000000000e+00,4.919999628327786922e-05,1.767649999237619340e-02,1.553990441454608629e+02,1.811653390807389741e+01,1.844704308706610263e+01,2.835778844399722942e+00,2.879907640203225760e+00,6.980882224913449896e+00,1.388301567660806235e+01,4.429118967492752468e+00,2.888955345494000237e+00,2.917720090176632475e+00,3.672359241110786598e+00,3.687205900491036470e+00,1.107936217463063144e+00,2.042217328705648316e-01
2.500000000000000000e+01,8.058146087521316225e-01,8.058146087521316225e-01,8.058146087521316225e-01,1.443352500005858019e+00,1.425313100015046075e+00,0.000000000000000000e+00,4.499999340623617172e-05,1.798580001923255622e-02,2.429721127832499690e+02,1.495909032971291097e+01,1.634236866225938201e+01,9.112609469280341656e-01,1.128451988232169967e+00,2.065992566751210902e+01,1.162852867592157668e+00,4.917322300336413932e+00,2.180895131455903524e+00,2.104183681849217891e+00,3.004540073238972209e+00,4.253660257062804817e+00,2.126309319272809084e+00,1.042984412147343609e-01
