evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
1.100000000000000000e+01,1.190961272974613849e-02,7.678215325308440295e-03,1.130120458783537502e-03,1.560047896913768686e-03,3.839107662654220147e-03,3.390361376350612722e-03,4.680143690741305623e-03,6.339544100017519668e+00,0.000000000000000000e+00,6.251964299997780472e+00,1.353000116068869829e-04,8.741409998037852347e-02,1.576317732073406717e+02,1.807292831387870535e+01,1.394478034187787507e+01,1.527206845420806758e+00,5.854417622326200110e-01,2.104290044950153060e+01,1.620889427035866603e+01,1.743313586041520757e+00,2.940091729343012439e+00,2.245969407493734415e+00,3.839311769547882669e+00,2.996776955231394979e+00,4.611773977150567028e+00,3.739871517696230496e-02
1.200000000000000000e+01,1.003343420182849569e-02,4.284744270930733630e-03,1.052654264125505411e-03,1.577699757995537546e-03,2.142372135465366815e-03,3.157962792376516233e-03,4.733099273986612204e-03,7.006213399989064783e+00,0.000000000000000000e+00,6.904773200018098578e+00,1.539000077173113823e-04,1.012712999945506454e-01,1.913505530905593446e+02,1.436111506834858531e+01,1.768805312688976983e+01,1.720286547768292706e+00,1.928799820880150229e+00,3.560099265089068155e+01,1.240413750957641703e+01,3.371437442465257561e+00,3.926547894084684298e+00,3.435073121869557156e+00,4.443781077698098159e+00,3.514490838704042996e+00,1.001688949661963868e+00,-2.823851213986534048e-01
1.300000000000000000e+01,1.023330593157912791e-02,4.192460516857706224e-03,1.075153430361070698e-03,1.637205127355687712e-03,2.096230258428853112e-03,3.225460291083212094e-03,4.911615382067063135e-03,5.547781500004930422e+00,0.000000000000000000e+00,5.454075599991483614e+00,2.429998130537569523e-05,9.366309997858479619e-02,2.414590815441541736e+02,1.389414538120518117e+01,1.425839864043484084e+01,2.703895822419113415e+00,2.893998883890621876e+00,2.653453461030487048e+01,9.085982477288407466e+00,4.662523448865218079e+00,4.962601503158349026e+00,3.831138054527628345e+00,2.511235094440327664e+00,2.784048736907143606e+00,1.391944948321751419e+00,1.436438819736907124e-02
1.400000000000000000e+01,5.076434651800475900e-03,3.007663726540303010e-03,4.552822393895780890e-04,7.355853567871967636e-04,1.503831863270151505e-03,1.365846718168734321e-03,2.206756070361590508e-03,2.572730900021269917e+00,0.000000000000000000e+00,2.553034399985335767e+00,2.490001497790217400e-05,1.966439999523572624e-02,1.615122984490831755e+02,1.793476510402689428e+01,1.423341579753969910e+01,1.534917475066539971e+00,9.187469405375627840e-01,3.432595646989990090e+00,2.897943000603207420e+00,1.036324702007113796e+00,3.948814001329749246e+00,4.968746747772692984e+00,2.035459874929075763e+00,3.146429797749801693e+00,1.996407743769011089e+00,-1.806742650969090924e-01
1.500000000000000000e+01,1.164159288900138561e-02,5.114678041246792546e-03,1.241002688432881829e-03,1.787081934359780995e-03,2.557339020623396273e-03,3.723008065298645704e-03,5.361245803079343203e-03,5.548058899992611259e+00,0.000000000000000000e+00,5.521927200024947524e+00,8.830000297166407108e-05,2.603470001486130059e-02,2.435665732435437008e+02,1.328313928158896573e+01,1.720469721391556561e+01,4.788693619047065253e-01,8.996941742619073423e-01,1.317741864709401689e+01,7.706988624983650560e+00,1.622679584511558026e+00,4.921699105050061362e+00,4.708510815476918410e+00,3.637620251479744660e+00,2.529566977649299275e+00,2.464884532227669567e+00,2.459457704320686111e-01
1.600000000000000000e+01,1.201561311044128770e-02,5.720665459703591811e-03,1.246658173600517739e-03,1.805101953262646481e-03,2.860332729851795906e-03,3.739974520801553001e-03,5.415305859787939227e-03,6.900459399999817833e+00,0.000000000000000000e+00,6.828628299990668893e+00,7.909999112598598003e-05,7.172820001142099500e-02,1.795188873603777040e+02,1.499364442375306083e+01,1.620781938500761754e+01,2.270459371572199903e+00,5.904955114779073533e-01,1.653817129523142171e+01,9.709824871267777269e+00,1.340380988909088078e+00,3.480654693020613699e+00,3.228823038172826898e+00,3.031273279828638145e+00,2.970677238123833774e+00,3.674416490962893800e+00,2.068665515561633472e-01
1.700000000000000000e+01,1.134724718314849591e-02,4.677386517684666359e-03,1.229053811004429762e-03,1.773797497097624482e-03,2.338693258842333179e-03,3.687161433013289285e-03,5.321392491292873880e-03,7.166248699999414384e+00,0.000000000000000000e+00,7.102798100007930771e+00,9.840002167038619518e-05,6.333069998072460294e-02,2.078217172476270775e+02,1.416982852079739352e+01,1.631865267341250458e+01,2.326711886638274773e+00,2.330165658714304033e+00,3.019797281750451390e+01,4.681020595412421770e+00,3.881204557330391047e+00,4.572277996980012915e+00,2.994734078888689588e+00,3.453289275145583037e+00,4.163556218582020740e+00,2.166875699153330892e+00,-2.174491339016931812e-02
1.800000000000000000e+01,2.339439949234449825e-02,1.243363577130801416e-02,2.474559360024740362e-03,3.251301175538756985e-03,6.216817885654007080e-03,7.423678080074221086e-03,9.753903526616270955e-03,7.431341699993936345e+00,0.000000000000000000e+00,7.351297599991085008e+00,7.859998731873929501e-05,7.993519998854026198e-02,2.272458074899828375e+02,1.710899849807596951e+01,1.737940668113152043e+01,8.733224864040023405e-01,2.272421146814371351e+00,3.758188187598026531e+01,1.389016675605584439e+01,3.675561393077526162e+00,2.527693959266373191e+00,2.533439604137358803e+00,3.786447882845755508e+00,2.524213637383698750e+00,3.179433031606166082e+00,1.246621999938986591e-01
1.900000000000000000e+01,5.583090834188899135e-03,2.794029060618279017e-03,6.489540434973069738e-04,7.464047244626130463e-04,1.397014530309139508e-03,1.946862130491920813e-03,2.239214173387839030e-03,7.826507699996000156e+00,0.000000000000000000e+00,7.733700300013879314e+00,6.990000838413834572e-05,9.271349999471567571e-02,2.255615582616825350e+02,1.602747360617338046e+01,1.643465010326047704e+01,1.025106424981907072e+00,1.633067634392059597e+00,7.946291388949032530e+00,1.700242266908156807e+01,2.661648675320315238e+00,2.416820710856207644e+00,3.859798946951073173e+00,4.991477977791250353e+00,2.940511870506973047e+00,3.277134229562743695e+00,1.048350608394349459e-02
2.000000000000000000e+01,9.651829310359729894e-03,6.234379193141831484e-03,8.003933816815088191e-04,1.377819856248095826e-03,3.117189596570915742e-03,2.401180145044526457e-03,4.133459568744287695e-03,7.109993400023085997e+00,0.000000000000000000e+00,7.045099000009940937e+00,1.107999996747821569e-04,6.476490001659840345e-02,1.848833971648530223e+02,1.505594739640860524e+01,1.687728979142046626e+01,1.467924454325109096e+00,1.075392862154327389e+00,1.052439650035151253e+01,1.975844905312161970e+01,1.440015099329504888e+00,3.528087715573868799e+00,4.197891190345092838e+00,2.433289484493276866e+00,3.300150641156909703e+00,2.089558009952643403e+00,1.456674330114529070e-01
