evaluation,objective,reflectivity_raw,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness
6.100000000000000000e+01,6.186716044554910199e-02,6.186716044554910199e-02,6.186716044554910199e-02,7.991608999727759510e-01,7.825613000022713095e-01,0.000000000000000000e+00,4.990000161342322826e-05,1.654040001449175179e-02,3.512273454127352590e+00,4.703092737336526774e+00,4.355720589380274177e+00,3.759537190479515623e+00,3.580343404636301408e+00,3.717118470795488072e+00
6.200000000000000000e+01,7.308587937876322160e-02,7.308587937876322160e-02,7.308587937876322160e-02,1.067834799992851913e+00,1.050257599999895319e+00,0.000000000000000000e+00,3.789999755099415779e-05,1.753099999041296542e-02,2.568504486244097329e+00,4.665871707630685705e+00,2.751348801512086162e+00,3.838235329834721377e+00,2.288017431430883875e+00,1.119724292568746726e+00
6.300000000000000000e+01,3.655435229949885456e-02,3.655435229949885456e-02,3.655435229949885456e-02,8.576166999991983175e-01,8.361066000070422888e-01,0.000000000000000000e+00,4.499999340623617172e-05,2.144199999747797847e-02,2.794645492873288006e+00,3.249551138484374491e+00,3.791139955024162234e+00,3.294696410044765322e+00,3.438148070366896292e+00,3.203099530619972324e+00
6.400000000000000000e+01,3.464709584530717423e-02,3.464709584530717423e-02,3.464709584530717423e-02,8.562021999969147146e-01,8.379868000047281384e-01,0.000000000000000000e+00,3.480000304989516735e-05,1.817130000563338399e-02,2.918991920073346069e+00,2.844146472638922951e+00,3.014253469635613580e+00,2.271943015431422186e+00,2.719024877584680588e+00,2.178787425285948487e+00
6.500000000000000000e+01,3.749474851879526505e-02,3.749474851879526505e-02,3.749474851879526505e-02,9.903301000013016164e-01,9.658320000162348151e-01,0.000000000000000000e+00,1.335000270046293736e-04,2.435429999604821205e-02,4.118906762429570101e+00,3.314973838134851025e+00,4.525628140147507139e+00,3.557627242417663815e+00,2.192363662051806106e+00,4.502643990073169178e+00
6.600000000000000000e+01,6.058871091955059240e-02,6.058871091955059240e-02,6.058871091955059240e-02,1.027035300008719787e+00,9.964280999847687781e-01,0.000000000000000000e+00,4.730001091957092285e-05,3.054659999907016754e-02,1.173895360226468565e+00,4.183047344913072507e+00,4.728839708344308335e+00,3.755690367719722644e+00,2.771416401099319415e+00,3.599243665563238714e+00
6.700000000000000000e+01,3.229275860491296474e-02,3.229275860491296474e-02,3.229275860491296474e-02,9.417176000133622438e-01,9.259997000044677407e-01,0.000000000000000000e+00,4.049998824484646320e-05,1.566979999188333750e-02,3.029597636601127242e+00,2.823146838519321022e+00,3.148795775976472200e+00,2.913226662358474162e+00,3.964139040797852953e+00,2.104931021401158731e+00
6.800000000000000000e+01,3.312007521494544915e-02,3.312007521494544915e-02,3.312007521494544915e-02,7.982962999958544970e-01,7.859229999885428697e-01,0.000000000000000000e+00,8.160001016221940517e-05,1.228130000527016819e-02,2.227657070646492876e+00,2.179061765890253799e+00,2.898696047021897648e+00,2.448015004459918043e+00,4.664219485938806642e+00,2.720322070455048369e+00
6.900000000000000000e+01,3.293946304488190591e-02,3.293946304488190591e-02,3.293946304488190591e-02,8.494464999821502715e-01,8.212587000161875039e-01,0.000000000000000000e+00,4.160002572461962700e-05,2.813360001891851425e-02,2.165627360714565519e+00,2.813832447693024541e+00,4.444426482838377268e+00,2.528966864303476836e+00,2.791563933751577409e+00,3.877309109953412936e+00
7.000000000000000000e+01,4.652495830756921136e-02,4.652495830756921136e-02,4.652495830756921136e-02,1.028310300025623292e+00,9.938284000090789050e-01,0.000000000000000000e+00,3.730002208612859249e-05,3.443429997423663735e-02,2.849329721329731058e+00,4.166553407225908501e+00,4.804211045324883855e+00,3.531201602432096021e+00,4.473142656413392260e+00,4.015919247391728675e+00
7.100000000000000000e+01,3.451210112733034407e-02,3.451210112733034407e-02,3.451210112733034407e-02,8.319245000020600855e-01,8.135604999843053520e-01,0.000000000000000000e+00,4.549999721348285675e-05,1.831059998949058354e-02,2.033117242396855318e+00,3.431276673520502474e+00,4.253132028769414319e+00,2.683038979078312902e+00,3.596738684351603599e+00,1.655037584191006328e+00
7.200000000000000000e+01,3.165033650284861111e-02,3.165033650284861111e-02,3.165033650284861111e-02,9.079652999935206026e-01,8.716095999989192933e-01,0.000000000000000000e+00,5.010000313632190228e-05,3.629280001041479409e-02,4.694730818807691719e+00,4.725451293931471675e+00,3.857366584622881067e+00,2.037347342881355328e+00,4.684522619159160683e+00,4.387455867172917579e+00
7.300000000000000000e+01,3.380188846485644716e-02,3.380188846485644716e-02,3.380188846485644716e-02,9.388017999881412834e-01,9.231992999848444015e-01,0.000000000000000000e+00,4.499999340623617172e-05,1.554860000032931566e-02,1.539383790849963241e+00,2.773493081257790926e+00,4.718198816139693719e+00,2.446168573082652120e+00,2.972792214360220342e+00,3.304645593165914441e+00
7.400000000000000000e+01,3.736033368999913673e-02,3.736033368999913673e-02,3.736033368999913673e-02,9.296881000045686960e-01,9.087599999911617488e-01,0.000000000000000000e+00,3.520000609569251537e-05,2.087560002109967172e-02,2.974303883836615370e+00,4.723144805598912477e+00,4.479291760088893959e+00,2.370739436776613474e+00,4.522146481123908934e+00,4.010539459794977724e+00
7.500000000000000000e+01,3.270786468203978892e-02,3.270786468203978892e-02,3.270786468203978892e-02,9.091434000001754612e-01,8.734164999914355576e-01,0.000000000000000000e+00,4.010001430287957191e-05,3.567490002023987472e-02,3.647253964204837828e+00,2.065140225819213970e+00,3.743970929931125458e+00,2.058727820702359157e+00,4.482111193757086554e+00,3.656882727257988464e+00
7.600000000000000000e+01,3.017080787449310728e-02,3.017080787449310728e-02,3.017080787449310728e-02,1.245085500006098300e+00,1.207448800007114187e+00,0.000000000000000000e+00,8.240001625381410122e-05,3.754029999254271388e-02,3.089331120975093548e+00,2.830385576073393583e+00,4.989709499578894203e+00,2.775592651560396362e+00,3.077934602600576497e+00,4.706370162712632421e+00
