evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
1.300000000000000000e+01,9.841132817445572001e-03,4.277267246557691326e-03,8.521871653168391209e-04,1.715312566072069514e-03,2.138633623278845663e-03,2.556561495950517363e-03,5.145937698216208542e-03,6.799764800001867115e+00,0.000000000000000000e+00,6.749799100012751296e+00,8.510000770911574364e-05,4.985939999460242689e-02,6.745268606696346758e+00,2.937040032436962100e+00,1.715255287306872845e+01,1.824073591216568957e+01,2.019884055113988719e+00,2.124400702794719820e+00,1.436544659614354513e+00,1.421056137152424625e+01,2.450905356776649668e+00,4.373952068968928408e+00,4.533386118731385750e+00,4.194853361998582386e+00,4.770125928683526695e+00,1.725830515302640311e+00,2.555457844012422597e-01
1.400000000000000000e+01,1.170859297090801922e-02,5.473696678138376299e-03,1.180436241504498893e-03,1.810145302441778202e-03,2.736848339069188150e-03,3.541308724513496896e-03,5.430435907325334606e-03,6.298578999994788319e+00,0.000000000000000000e+00,6.232976100000087172e+00,7.719997665844857693e-05,6.550250001600943506e-02,6.424740673128852997e+00,1.633431239956608216e+00,1.745904551160318618e+01,1.697952549277138701e+01,1.883296383661922646e-01,2.156958677497637922e+00,2.657152999469208354e-01,5.220827475967015019e+00,1.775857253632345811e+00,4.093717029963364951e+00,2.835073684258760718e+00,2.241035848297238786e+00,3.221633750102137927e+00,4.662707778598250030e+00,-2.620575039527184291e-02
1.500000000000000000e+01,1.715388809753149238e-02,6.339801574063057450e-03,1.925125604293195097e-03,2.736203499206793077e-03,3.169900787031528725e-03,5.775376812879585292e-03,8.208610497620378796e-03,6.504571900004521012e+00,0.000000000000000000e+00,6.449882199987769127e+00,9.089999366551637650e-05,5.457519998890347779e-02,1.178655466688539022e+01,1.496226738122009348e+00,1.672220055853559373e+01,1.602948546345277947e+01,2.049490546858488749e+00,5.710986496081604802e-01,6.622615013303271070e+00,1.069335231814056009e+01,2.120671336642834248e+00,4.954717560885454120e+00,2.324452747828173571e+00,4.970381186420778086e+00,4.938828085640270871e+00,3.017767091658824619e+00,-8.398038829779383430e-02
1.600000000000000000e+01,1.430763405602862755e-02,6.680502851957291661e-03,1.371910328781859216e-03,2.283883881234801284e-03,3.340251425978645831e-03,4.115730986345577866e-03,6.851651643704404285e-03,6.063109800015809014e+00,0.000000000000000000e+00,5.996562100015580654e+00,9.310001041740179062e-05,6.642950000241398811e-02,1.423338232881486398e+01,1.717907908790002658e+00,1.611773281363938182e+01,1.410254783895402397e+01,2.594978339397090217e+00,1.624160072507998098e+00,1.203252060504854448e+01,9.087116600116111442e+00,1.454468108772788870e+00,2.065869839424282262e+00,4.604021704763934686e+00,2.869738636742579008e+00,3.368866527171430647e+00,1.196827984859998750e+00,-1.199804942406590136e-01
1.700000000000000000e+01,1.570706651795584358e-02,6.818242567735098049e-03,1.653593728198357810e-03,2.445721349831073924e-03,3.409121283867549024e-03,4.960781184595073647e-03,7.337164049493222207e-03,6.309499099996173754e+00,0.000000000000000000e+00,6.243090399977518246e+00,8.510000770911574364e-05,6.629360001534223557e-02,1.305026779303790896e+01,2.232949171682565570e+00,1.719911401138237395e+01,1.564444786512726360e+01,1.289036466324939623e+00,2.572613265295321749e+00,1.145404469977124329e+01,1.699061200244911163e+01,1.764451021942039288e+00,2.014196939541176068e+00,4.035823812990041226e+00,3.969825681633682102e+00,3.063910372296111628e+00,4.459486982086710682e+00,1.166784457932238395e-01
1.800000000000000000e+01,1.826100041168710747e-02,7.417752533476085902e-03,2.195107965300402073e-03,2.655600083015953201e-03,3.708876266738042951e-03,6.585323895901206218e-03,7.966800249047860036e-03,6.043566500011365861e+00,0.000000000000000000e+00,5.972097199992276728e+00,7.519999053329229355e-05,7.137089999741874635e-02,1.112812398900398492e+01,1.639021543087967991e+00,1.705502745239172668e+01,1.589048840969813980e+01,1.575150839459455554e+00,2.311850458947328213e-01,1.850041553505480962e+01,1.915525521547309040e+01,1.071136508926180397e+00,2.347738031648515467e+00,3.618686570568123262e+00,2.095978833379638306e+00,2.395029576457841536e+00,3.771496277039305678e+00,2.726051466453249805e-02
1.900000000000000000e+01,1.526062692048169717e-02,7.036884698819469500e-03,1.380952295450448356e-03,2.533109228240205350e-03,3.518442349409734750e-03,4.142856886351345067e-03,7.599327684720616483e-03,5.449585499998647720e+00,0.000000000000000000e+00,5.376988700008951128e+00,9.100002353079617023e-05,7.248020000406540930e-02,1.275026791712057594e+01,1.279110204910885784e+00,1.718115840340175282e+01,1.359819364434393130e+01,1.850864107063802777e+00,2.318122826492661770e-01,2.225230152497654146e+01,2.032398082415654450e+00,3.182676912637848687e+00,2.458272909108646154e+00,3.058650990545478177e+00,4.091512243946831440e+00,3.774615566771065467e+00,2.391761399847629477e+00,-1.721301830823533385e-01
2.000000000000000000e+01,2.689379870269998501e-02,1.028511663578625911e-02,3.153837295918033613e-03,4.096576165684251251e-03,5.142558317893129553e-03,9.461511887754101707e-03,1.228972849705275289e-02,4.196168900001794100e+00,0.000000000000000000e+00,4.134400000009918585e+00,2.780000795610249043e-05,6.172189998324029148e-02,1.376729908145636827e+01,1.832723643338041830e+00,1.588158638591453808e+01,1.607972234138961909e+01,2.849737566179132209e+00,2.108261489959570301e-01,3.544123648003607485e+01,1.613915008206010526e+01,1.998360630868934562e+00,3.261662182935587850e+00,2.923785575095393607e+00,2.349358987508179286e+00,2.127183902869095089e+00,2.851488477376162400e+00,1.581017536734809492e-01
2.100000000000000000e+01,9.855054813352921717e-03,4.280386854621387287e-03,8.930337471117539725e-04,1.678586714902322160e-03,2.140193427310693643e-03,2.679101241335261809e-03,5.035760144706966264e-03,2.243257699999958277e+00,0.000000000000000000e+00,2.226146300003165379e+00,2.310000127181410789e-05,1.707890001125633717e-02,6.848388686893369659e+00,2.546419281273192503e+00,1.751454638986503909e+01,1.785030083429281689e+01,5.145416835778025000e-01,1.845222572305871056e+00,2.126456530168995052e+00,1.667360061374134972e+01,3.436534943391118535e+00,4.465094114804843528e+00,3.483320001568463553e+00,3.382384000604074181e+00,2.188708934115888738e+00,2.365514610859119848e+00,1.298893952338892044e-01
2.200000000000000000e+01,1.305859298659337378e-02,6.376329086862545827e-03,1.312018861805099371e-03,1.978123952582267874e-03,3.188164543431272913e-03,3.936056585415298112e-03,5.934371857746803189e-03,2.080578699999023229e+00,0.000000000000000000e+00,2.058376600005431101e+00,2.360000507906079292e-05,2.216960000805556774e-02,5.544035245554389313e+00,1.324772202398556864e+00,1.849572008637603204e+01,1.506500935060485347e+01,5.764417039606988258e-01,1.877886534331518087e+00,2.872116027942986705e+01,5.862766672553036962e+00,1.215961765818434959e+00,4.790836677131217414e+00,4.971114411126965393e+00,4.835778844399722942e+00,4.879907640203225760e+00,1.715987920503943442e+00,1.068320739981493128e-01
