run,evaluation,objective,reflectivity_raw,reflectivity_weighted,C 1s_raw,C 1s_weighted,La 4d_raw,La 4d_weighted,Ni 3p_raw,Ni 3p_weighted,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,reflectivity_angle_offset,rc_angle_offset
auto_240_archived,1.780000000000000000e+02,6.300334029435396277e-03,8.728548599943085351e-02,4.392091509778256811e-03,1.284929194114162654e-03,6.424645970570813268e-04,8.253935415399629412e-05,2.476180624619888824e-04,3.393866200460229953e-04,1.018159860138069094e-03,8.709000008237605783e+00,1.709277773045985438e-01,5.818481960856063750e+01,2.500345884837590660e+01,7.323719107610254797e-01,-3.049587226051131417e-02,-9.443705470005714364e-02
w0.09_seed12,4.200000000000000000e+01,1.589990512999462854e-02,1.209925755154160204e-01,1.088933179638744073e-02,1.396593577112410388e-03,6.982967885562051938e-04,4.646744846533942840e-04,1.394023453960182906e-03,9.727510303635993278e-04,2.918253091090798092e-03,1.090978941859778395e+01,4.240902671173166771e-01,5.874253549493977289e+01,2.814671960280838192e+01,4.453944618444617004e-02,-1.304338138132930813e-01,-1.748795709801101439e-01
w0.075_seed12,9.000000000000000000e+01,9.827202836451423909e-03,8.886641495651982636e-02,6.664981121738986457e-03,3.361423738495920768e-03,1.680711869247960384e-03,1.534512149649847827e-04,4.603536448949543209e-04,3.403854001898408616e-04,1.021156200569522639e-03,9.879222840102968917e+00,4.857754012373699526e-01,5.518721323709766580e+01,2.036656751185208947e+01,4.677147303370144948e-01,2.999999999999999889e-01,2.132718187610749827e-01
w0.06_seed12,1.460000000000000000e+02,9.679509980887728016e-03,1.318571199409109829e-01,7.911427196454658486e-03,7.245712183304943346e-04,3.622856091652471673e-04,1.007303848682105225e-04,3.021911546046315540e-04,3.678686735543970263e-04,1.103606020663191025e-03,7.068852408556294264e+00,2.635853141632300001e-01,5.301942777888351799e+01,4.579360063824487348e+00,7.963126848125215984e-01,2.999999999999999889e-01,1.787984682385147517e-01
