name,raw,weight,weighted
reflectivity,0.06815405600013624,0.061052445252516116,0.0041609717726852355
C 1s,0.0026600642078004767,0.5,0.0013300321039002383
Ni 3p,0.0007802882427340344,3.0,0.0023408647282021034
La 4d,0.0001643831482070311,3.0,0.0004931494446210933
