dataset,angle_deg,calculation_angle_deg,experimental,fitted
reflectivity,14.55,14.849436058415513,0.00016236,0.0002459131375849819
reflectivity,14.6,14.899436058415512,0.00011784,0.00013271924365551452
reflectivity,14.649999999999999,14.949436058415511,9.3988e-05,8.155978046650427e-05
reflectivity,14.7,14.999436058415512,5.2648e-05,9.3063542882481e-05
C 1s,12.42,12.717434551259378,0.9996871146400309,0.9833378195080558
C 1s,12.459999999999999,12.757434551259378,1.0211921641008317,0.9871615093429634
C 1s,12.5,12.797434551259379,0.956480031237309,0.9932034709831565
C 1s,12.54,12.837434551259378,0.989150146771034,0.9988293713893053
C 1s,12.58,12.877434551259379,1.0426917899408277,1.001650687021896
C 1s,12.62,12.917434551259378,0.9915475110944804,1.0012555410786292
C 1s,12.66,12.957434551259379,0.9841560965068208,0.9996452988588947
C 1s,12.7,12.997434551259378,0.97289534915354,0.9999670558711465
C 1s,12.74,13.037434551259379,0.9644573278369708,1.0043158222466626
C 1s,12.78,13.077434551259378,0.9816338470952228,1.0121082102201804
C 1s,12.82,13.117434551259379,1.008794479837594,1.0202447623479451
C 1s,12.86,13.157434551259378,0.9467549668994024,1.025099148567601
C 1s,12.9,13.197434551259379,1.0026361229451575,1.0250732067511228
C 1s,12.94,13.237434551259378,0.9335793325364287,1.0219470608360703
C 1s,12.98,13.277434551259379,1.0066748748514376,1.019940418932025
C 1s,13.02,13.317434551259378,0.9972949677083305,1.022905116659098
C 1s,13.06,13.357434551259379,1.0247503949432057,1.0314389612371433
C 1s,13.1,13.397434551259378,0.9801382724846539,1.0419822366794138
C 1s,13.14,13.43743455125938,0.999265527564909,1.0487990388734092
C 1s,13.18,13.477434551259378,0.995282358949864,1.0478063493150822
C 1s,13.22,13.51743455125938,1.0040699570258977,1.0397850889212659
C 1s,13.26,13.557434551259378,1.04774213768116,1.0306153955387187
C 1s,13.3,13.59743455125938,1.0223325241087193,1.0278628616586611
C 1s,13.34,13.637434551259378,1.0464676043306267,1.0353715012674596
C 1s,13.38,13.67743455125938,0.9660937311877823,1.049137641440711
C 1s,13.42,13.717434551259378,1.0047465843287298,1.0575228327742756
C 1s,13.46,13.75743455125938,1.0150817680638295,1.0465787960260386
