parameter,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,lno2_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
carbon_thickness,4.862904150698526,-0.08046664816851104,-0.41033729665563373,-3.1764217074583185,-2.2269072391415644e-11,1.1374260238579026,-1.025289964131535,0.47153090795957786,-0.30648815114525885,-1.2961935049646685,-3.646454926021132,2.716253995295772,-65.45087651784742,-0.08803351553997914,69.1092776866721,-36.19392259045936,-0.17476637008087464,-0.16371504336725404
carbon_roughness_fraction,-0.08046664846212856,157.38941616881968,-14.416427077658064,-2.390108412632032,1.0096823114520244e-10,18.55367976091058,-15.292890445824138,8.167910526123974,-7.795501402420227,-101.51543492409762,-50.20506028565841,-148.42546596576406,108.1232823523267,165.8630649770974,-131.43410735778508,102.65819896691204,-1.006556107013433,-1.0980839611081596
top_lno_total_thickness,-0.41033729666934515,-14.416427081219958,39.03628242394977,-0.4985274554101718,-8.588577528133087e-11,-16.881671310437756,16.606810397609557,-4.075784650750674,4.025998398979515,54.56510203045543,39.151771678085986,148.5961175422913,-101.49840751874991,-162.4112464819787,109.72479451380654,-40.51644985846698,-0.3294230363555995,-0.3594252620736977
top_lno_layer1_thickness,-3.1764217074528687,-2.39010841273546,-0.4985274554801547,4.050575621008489,1.5308734845909907e-11,-0.6285147119576877,0.48660967347753875,-0.39657039312133713,0.27176391084181767,1.8575950107324841,2.6113952252750576,-2.8538806818083606,45.13366230228053,1.102530314293338,-47.113365767209814,22.833526105473684,0.1524886897688869,0.15284965148717794
lno2_roughness_fraction,-8.921594942026393e-11,3.771777831666149e-10,-3.228634331302579e-10,6.132594983956677e-11,2.0895148626984922e-21,1.664925273758902e-10,-1.3551728112084691e-10,5.559326311183048e-11,-6.020179531795301e-11,-9.44130383470592e-10,-4.628727318193489e-10,-2.0432072702336856e-09,3.7917628148793304e-09,2.169580353699478e-09,-4.146009344070399e-09,2.8758742009431666e-09,-2.979143614085871e-12,-2.830798180953769e-12
sto_thickness_start,1.137426023860153,18.55367976470723,-16.88167131030003,-0.6285147120291624,4.5322519927332467e-11,18.300666759850053,-16.550551474405786,4.846226661891198,-4.632033754806165,-49.268661889102376,-23.921421615374,-88.80470910376492,35.734311185029824,103.43891909427776,-45.373704961006986,0.4324276806540812,-0.5304234935450611,-0.5089529328154481
lno_thickness_start,-1.0252899641374995,-15.29289044932273,16.606810397527788,0.4866096735447649,-3.709617285657017e-11,-16.550551474453997,15.280557544279779,-4.064592743124451,3.8595945687360937,40.488705382927634,20.332168196369473,77.63067793582124,-26.40889832408306,-90.51164821205262,33.59377669158739,9.311630391869514,0.35914297366349496,0.34179406509164095
sto_thickness_delta,0.4715309079529424,8.167910527008459,-4.075784650627663,-0.3965703931355338,1.5376589162239365e-11,4.846226661793122,-4.064592743022909,2.2503253897561977,-2.177176053822217,-25.591966597976768,-12.218230724546867,-31.90516903835508,6.866219112168358,36.725201460113915,-11.406612143753682,1.0364034529833643,-0.273817475016646,-0.26410526917766375
lno_thickness_delta,-0.3064881511389824,-7.79550140326165,4.025998398863146,0.27176391085532253,-1.6510295527055203e-11,-4.6320337547135155,3.859594568640101,-2.177176053822379,2.128727359788499,25.29742206473681,11.933963106190419,31.678298349689662,-10.71151859875822,-36.26560415412222,15.430488402382675,-2.9816410729004823,0.2607137772096554,0.25180611947214115
thickness_transition_repeat,-1.2961935048611166,-101.51543493239095,54.565102028788516,1.857595010850399,-2.5472840592143214e-10,-49.26866188762979,40.48870538146628,-25.591966597847804,25.297422064612565,350.28396090925605,161.05526310844544,401.316502950298,-255.92197386226238,-452.401524945709,321.2151955807919,-149.1646953038974,2.6668280631858376,2.557879995042346
