layer_index,material,thickness_A,roughness_A,delta,beta
0,vacuum,0.0,0.0,0.0,0.0
1,C,2.640561206701323,2.4171509858321096,0.0007384860233239613,0.00010576837228166747
2,LNO,1.5510385828140256,0.0,0.0007937549662894281,0.0002923390475370646
3,LNO,46.979695148900646,0.0017588839418606294,0.0007937549662894281,0.0002923390475370646
4,LNO,160.0,0.0,0.0007937549662894281,0.0002923390475370646
5,STO,13.700352142459751,4.999706038988492,0.0012943223827566147,0.0004431665726682084
6,LNO,18.397495094677357,4.999705697198561,0.0007937549662894281,0.0002923390475370646
7,STO,13.70035520496522,4.938783180365737,0.0012943223827566147,0.0004431665726682084
8,LNO,18.397498134441086,4.940975539498453,0.0007937549662894281,0.0002923390475370646
9,STO,13.70035868052045,4.877860321742983,0.0012943223827566147,0.0004431665726682084
10,LNO,18.39750158418733,4.882245381798345,0.0007937549662894281,0.0002923390475370646
11,STO,13.70036259633546,4.816937463120228,0.0012943223827566147,0.0004431665726682084
12,LNO,18.39750547092404,4.823515224098238,0.0007937549662894281,0.0002923390475370646
13,STO,13.700366976301952,4.756014604497474,0.0012943223827566147,0.0004431665726682084
14,LNO,18.397509818365517,4.76478506639813,0.0007937549662894281,0.0002923390475370646
15,STO,13.700371840038699,4.695091745874719,0.0012943223827566147,0.0004431665726682084
16,LNO,18.39751464598483,4.706054908698023,0.0007937549662894281,0.0002923390475370646
17,STO,13.70037720195441,4.634168887251964,0.0012943223827566147,0.0004431665726682084
18,LNO,18.397519968083703,4.647324750997916,0.0007937549662894281,0.0002923390475370646
19,STO,13.700383070365856,4.573246028629209,0.0012943223827566147,0.0004431665726682084
20,LNO,18.397525792917147,4.588594593297808,0.0007937549662894281,0.0002923390475370646
21,STO,13.700389446710446,4.512323170006455,0.0012943223827566147,0.0004431665726682084
22,LNO,18.39753212191189,4.5298644355977,0.0007937549662894281,0.0002923390475370646
23,STO,13.700396324892285,4.4514003113837,0.0012943223827566147,0.0004431665726682084
24,LNO,18.39753894901731,4.471134277897592,0.0007937549662894281,0.0002923390475370646
25,STO,13.700403690798387,4.390477452760946,0.0012943223827566147,0.0004431665726682084
