iteration,objective,gradient_norm,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,lno2_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1,0.008329872519904899,0.005986389508844756,2.6606578078828895,0.8618362682307267,48.53764500697812,1.5165866026112815,0.0004283564266443918,13.699168070772478,18.396582706229783,0.00030000000000000003,0.00030000000000000003,18.58668215957544,11.689701745044582,4.9997,2.6318519349961043,4.9997,2.717597546105489,3.9432389170970428,0.2994274117749152,0.2977815468729677
2,0.008326783551189959,0.004597035025332869,2.647823194036877,0.8638111835725559,48.54085140319274,1.5227036762347197,0.0011340039901970168,13.6978061359044,18.397833577155403,0.00029549023071713195,0.00029543596481309414,18.50932138112283,11.745445921243434,4.999703791621496,2.6240631417343026,4.999703835951305,2.709513884435661,3.963468055348547,0.29943479884008045,0.29785868984904945
3,0.00832611444528172,0.007516388400187831,2.6413978218002825,0.8638198762750943,48.531515828916675,1.5510486532826429,0.0011340039901970157,13.70129132819826,18.397181826004026,0.00029106019123352223,0.00028844790966069166,18.451200081960092,11.750459701548328,4.99970583055573,2.6237492276521825,4.999705492144936,2.7092579575781266,3.963567190027822,0.299435877756214,0.2974487327958491
4,0.008325535749961407,0.005544588654649159,2.640566295026586,0.8638208458657338,48.530746541483644,1.5510386966716558,0.0011340039901970157,13.700323882034152,18.39748845378302,0.000289844309819097,0.00028769030539829243,18.44725332583888,11.73955544006182,4.999706036739957,2.6237149324358033,4.999705695191869,2.7092298180847054,3.963577930235458,0.2994360566462079,0.2974346702930372
5,0.008325526438075555,0.005241759510844862,2.6405662490030193,0.8638208465436776,48.53074394238875,1.5510386890413623,0.0011340039901970157,13.70032642395452,18.397486262475606,0.0002898439356071495,0.0002876896763850502,18.447241039217726,11.739549253372314,4.999706036895397,2.623714907194385,4.999705695321996,2.7092297995285106,3.9635779377660953,0.2994360567643752,0.29743466223078846
6,0.008325459429873363,0.00389139552829828,2.640564451762226,0.8638208501380248,48.53073972366152,1.5510386484233762,0.0011340039901970157,13.700326122083116,18.397483351089416,0.0002898401816602956,0.00028768833805744524,18.447212870774376,11.739564661626934,4.999706037711525,2.6237147732959683,4.999705696020871,2.7092297017919957,3.963577977677571,0.29943605739514373,0.297434620456642
7,0.008325436049401242,0.004682106383570005,2.640561211053221,0.8638208559520142,48.53073374528203,1.5510385829354412,0.0011340039901970157,13.700335318961452,18.39747842451043,0.0002898373145436752,0.00028768502471655506,18.44719891445844,11.73952355853346,4.999706038986115,2.62371455311199,4.999705697196392,2.7092295471788037,3.963578042267199,0.29943605841362425,0.2974345513880811
8,0.008325018077652617,0.005436997045609958,2.640561206701323,0.8638208559628053,48.53073373171467,1.5510385828140256,0.0011340039901970157,13.700335318060766,18.397478395214012,0.0002898373079930785,0.0002876850165692729,18.44719901153789,11.739523595946588,4.999706038988492,2.6237145527010606,4.999705697198561,2.709229546894364,3.963578042387084,0.29943605841551263,0.2974345512593783
