depth_A,La,Ni,C
0.0,0.0,0.0,0.5
0.09999972897824196,0.0,0.0,0.516499897163959
0.1999994579564839,0.0,0.0,0.5329715820711244
0.2999991869347259,0.0,0.0,0.5493869870979287
0.3999989159129678,0.0,0.0,0.5657183326521644
0.49999864489120976,0.0,0.0,0.5819382681156903
0.5999983738694518,0.0,0.0,0.5980200091406616
0.6999981028476937,0.0,0.0,0.6139374701516097
0.7999978318259356,0.0,0.0,0.6296653909624833
0.8999975608041776,0.0,0.0,0.6451794564871076
0.9999972897824195,0.0,0.0,0.6604564086023684
1.0999970187606616,0.0,0.0,0.6754741493145652
1.1999967477389035,0.0,0.0,0.6902118344794441
1.2999964767171455,0.0,0.0,0.7046499574339415
1.3999962056953874,0.0,0.0,0.7187704220110638
1.4999959346736293,0.0,0.0,0.7325566045269739
1.5999956636518713,0.0,0.0,0.74599340444957
1.6999953926301132,0.0,0.0,0.7590672835789547
1.7999951216083552,0.0,0.0,0.7717662936905452
1.8999948505865971,0.0,0.0,0.7840800927095648
1.999994579564839,0.0,0.0,0.7959999495997472
2.099994308543081,0.0,0.0,0.807518738257848
2.199994037521323,0.0,0.0,0.8186309208076821
2.299993766499565,0.0,0.0,0.8293325207817156
2.399993495477807,0.0,0.0,0.839621086763727
2.4999932244560488,0.0,0.0,0.849495647141846
2.599992953434291,0.0,0.0,0.8589566566867319
2.6999926824125327,1.0,0.0,0.0
2.799992411390775,1.0,0.0,0.0
2.8999921403690165,1.0,0.0,0.0
2.9999918693472587,1.0,0.0,0.0
3.0999915983255004,1.0,0.0,0.0
3.1999913273037426,1.0,0.0,0.0
3.2999910562819847,1.0,0.0,0.0
3.3999907852602265,1.0,0.0,0.0
3.4999905142384686,1.0,0.0,0.0
3.5999902432167104,1.0,0.0,0.0
3.6999899721949525,1.0,0.0,0.0
3.7999897011731942,1.0,0.0,0.0
3.8999894301514364,1.0,0.0,0.0
3.999989159129678,1.0,0.0,0.0
4.09998888810792,1.0,0.0,0.0
4.199988617086162,1.0,1.0,0.0
4.299988346064404,1.0,1.0,0.0
4.399988075042646,1.0,1.0,0.0
4.499987804020888,1.0,1.0,0.0
4.59998753299913,1.0,1.0,0.0
4.6999872619773715,1.0,1.0,0.0
4.799986990955614,1.0,1.0,0.0
4.899986719933856,1.0,1.0,0.0
4.9999864489120975,1.0,1.0,0.0
5.09998617789034,1.0,1.0,0.0
5.199985906868582,1.0,1.0,0.0
5.299985635846824,1.0,1.0,0.0
5.399985364825065,1.0,1.0,0.0
5.499985093803308,1.0,1.0,0.0
5.59998482278155,1.0,1.0,0.0
5.699984551759791,1.0,1.0,0.0
5.799984280738033,1.0,1.0,0.0
5.899984009716276,1.0,1.0,0.0
5.999983738694517,1.0,1.0,0.0
6.099983467672759,1.0,1.0,0.0
6.199983196651001,1.0,1.0,0.0
6.2999829256292434,1.0,1.0,0.0
6.399982654607485,1.0,1.0,0.0
6.499982383585727,1.0,1.0,0.0
6.5999821125639695,1.0,1.0,0.0
6.699981841542211,1.0,1.0,0.0
6.799981570520453,1.0,1.0,0.0
