 LaNiO3 Density=7.25
 Energy(eV), Delta, Beta
  800.  0.000933347153  0.000310777395
  800.94281  0.000925371307  0.000309574214
  801.886719  0.000917427882  0.000308375747
  802.831726  0.000909516704  0.000307181996
  803.777954  0.000901637482  0.000305992784
  804.725281  0.000893790391  0.000304808258
  805.673584  0.000885975431  0.000303628447
  806.623047  0.00087819231  0.000302453176
  807.57373  0.000870438351  0.0003012823
  808.525452  0.000861008069  0.000300116197
  809.478394  0.000851334538  0.000298954576
  810.432312  0.000841701985  0.000297797582
  811.387451  0.000832109887  0.00029664507
  812.343689  0.000821932219  0.00029549707
  813.301086  0.00081172568  0.000294353522
  814.259521  0.000801562914  0.000293214514
  815.219238  0.000791443221  0.000292079843
  816.179932  0.000781367009  0.000290949713
  817.141846  0.000770692306  0.000289823773
  818.104858  0.00075592479  0.000288702402
  819.069031  0.000741222466  0.000287585397
  820.034302  0.000726585276  0.000286472816
  821.000793  0.000712012639  0.000285364484
  821.968262  0.000697504962  0.000284260634
  822.937012  0.000683061196  0.000283160916
  823.906921  0.000668681634  0.000282065565
  824.877808  0.000653926632  0.000280974549
  825.850037  0.000638078083  0.000279887638
  826.823242  0.000595403137  0.000278805121
  827.797729  0.000513907289  0.000277726533
  828.773315  0.000432824017  0.000276652368
  829.749939  0.000352151867  0.000275582657
  830.727844  0.000271792494  0.000274516671
  831.706909  0.000191841362  0.000273454963
  832.687073  0.000112265028  0.000272397534
  833.668396  3.30620715E-05  0.00027134415
  834.651001 -4.57687493E-05  0.000270294811
  835.634644 -0.000124228827  0.000269249635
  836.619446 -0.00010565704  0.000775872031
  837.605408 -3.07470327E-05  0.000772548257
  838.592529  3.64456391E-05  0.000769243226
  839.580811  9.93972717E-05  0.000765954843
  840.570374  0.000162077864  0.000762679789
  841.560913  0.000224437637  0.000759419694
  842.552734  0.000286503026  0.000756173336
  843.545715  0.000348275062  0.000752940949
  844.539856  0.000409754895  0.000749722414
  845.535156  0.000470943487  0.000746517559
  846.531677  0.000470124243  0.00074332644
  847.529297  0.00046668126  0.000740149233
  848.528076  0.000463251927  0.000736985647
  849.528137  0.000459836039  0.000733835448
  850.529297  0.000456433714  0.000730698695
  851.531677  0.000448013307  0.000727575156
  852.535278  0.000277130865  0.000724472338
  853.539917  0.000300694199  0.000973847229
  854.545898  0.000343961554  0.000969749875
  855.55304  0.000385894644  0.000965669809
  856.561279  0.000423949969  0.000961607031
  857.57074  0.000461824093  0.000957561424
  858.581421  0.000499517599  0.000953532872
  859.593323  0.000537031097  0.000949521142
  860.606384  0.000574365375  0.000945526408
  861.620605  0.000611520954  0.000941548555
  862.635986  0.00064849871  0.000937587523
  863.65271  0.00068531424  0.000933642092
  864.670471  0.000721937802  0.000929714413
  865.689575  0.000746549224  0.000925805594
  866.709778  0.000754381064  0.000921916857
  867.731201  0.000762171869  0.000918044709
  868.753906  0.000769921695  0.000914188451
  869.77771  0.000777631009  0.000910348841
  870.802795  0.000785299693  0.000906525063
  871.829041  0.00079292804  0.000902717584
  872.856506  0.000800516107  0.000898925995
  873.885132  0.000808064302  0.000895150646
  874.9151  0.000815576001  0.000891390024
  875.946167  0.000822183909  0.000887646282
  876.978516  0.000828520511  0.000883918023
  878.012085  0.000834822771  0.000880205422
  879.046814  0.00084109098  0.000876508595
  880.082825  0.000845860399  0.000872827135
  881.119995  0.000850203738  0.000869161449
  882.158386  0.000854522048  0.000865511014
  883.198059  0.000858815212  0.000861876062
  884.238892  0.000863083522  0.000858256419
  885.281006  0.000867285125  0.000854651676
  886.324341  0.000870802265  0.000851061661
  887.368896  0.000874295831  0.000847486954
  888.414673  0.000877768151  0.000843927555
  889.461731  0.000881219108  0.000840382883
  890.51001  0.000884649111  0.000836853229
  891.559387  0.000888058217  0.000833338767
  892.610168  0.000891446136  0.000829838624
  893.66217  0.000894693076  0.000826353324
  894.715332  0.000897301128  0.000822882808
  895.769775  0.000899724488  0.000819426787
  896.8255  0.000901802327  0.000815984909
  897.882385  0.000903863809  0.000812557992
  898.940552  0.000905910623  0.000809145626
  900.  0.000907942594  0.000805747521
