evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1.600000000000000000e+01,6.091755360606970066e-02,4.716289595516291039e-03,8.728729145651138678e-04,1.353899720816866903e-03,5.764343433573957398e-01,2.358144797758145519e-03,2.618618743695341495e-03,4.061699162450600926e-03,5.187909090216561575e-02,1.132209000061266124e-01,2.526979998219758272e-02,5.221180000808089972e-02,8.249998791143298149e-05,3.564090002328157425e-02,6.534841631430894360e+00,3.738086175288374835e-01,5.909923560516533314e+01,1.519504331029497024e+01,3.584642873847758149e-01,1.448420976287008521e+01,1.843007735748257403e+01,3.300113244971287774e-01,1.528087715573868577e+00,2.857258547448621044e+01,3.744166735124087264e+00,3.300150641156909703e+00,2.817168507464482552e+00,4.228337165057264535e+00,4.699671419791405569e+00,1.324700541472391357e+00,1.317705530546758874e-01,2.286124682796381036e-02
1.700000000000000000e+01,3.222590961146381411e-02,6.856672940911201670e-03,3.419404662407846910e-04,3.602781778280230948e-04,2.965657467644643441e-01,3.428336470455600835e-03,1.025821398722354073e-03,1.080834533484069339e-03,2.669091720880178986e-02,1.627974000293761492e-01,2.854980004485696554e-02,7.313380000414326787e-02,1.143999979831278324e-04,6.096970004728063941e-02,1.442985856976936887e+01,3.042903948977549768e-03,5.921630430712937709e+01,2.227886692258759282e+01,1.758227994780503789e-01,1.602635769791453413e+01,1.837227661049174543e+01,1.997732431579010814e+00,4.931866207443763583e-01,2.727682284767329080e+01,1.065639636959839187e+01,4.405498997596730248e+00,2.737682131848512501e+00,2.242598372372945015e+00,3.264182741194065152e+00,2.512632152724632029e+00,3.321211857006911572e-02,-7.635723413339931542e-02
1.800000000000000000e+01,3.935983909800154501e-02,5.778979008301180116e-03,1.666408697362447167e-03,2.219460241465873260e-03,2.756971419707332505e-01,2.889489504150590058e-03,4.999226092087341936e-03,6.658380724397620215e-03,2.481274277736599324e-02,1.579727999633178115e-01,3.271409997250884771e-02,5.907690001185983419e-02,9.969994425773620605e-05,6.606440001633018255e-02,1.006005217269222207e+01,1.861702432788402695e-01,4.960654145120318503e+01,2.853892813510484316e+01,4.897837975071620553e-01,1.668260188988701742e+01,1.353157238683927943e+01,1.643944558630261676e+00,2.616399984730352291e+00,4.166792895614140235e+00,1.418025686033113963e+01,2.956828814590709342e+00,3.754606684487806767e+00,3.393810215358751492e+00,3.890634710710093813e+00,4.663414943212469410e+00,2.152452699987660867e-01,-2.403467634767925132e-02
1.900000000000000000e+01,1.586396936648229172e-01,3.290054162170065726e-03,8.491029932633475637e-04,1.363080013007658556e-03,1.670645750721387657e+00,1.645027081085032863e-03,2.547308979790042800e-03,4.089240039022975885e-03,1.503581175649248702e-01,1.390251000411808491e-01,2.585869998438283801e-02,7.308870000997558236e-02,1.048000412993133068e-04,3.995669999858364463e-02,6.104544016407071894e+00,7.845133362824424639e-01,5.921817772309337613e+01,1.489508706984671171e+01,2.647850936062435268e-01,1.355886154920482234e+01,1.620399869122781666e+01,6.409284072501943152e-02,4.024361722179113920e-01,3.292227174233661202e+01,1.286826637549635777e+00,3.334455288745715063e+00,3.036584732684788790e+00,2.364415134893933956e+00,2.146321533791901714e+00,3.217838689035306121e+00,-2.276977824289594388e-02,4.140403090160549304e-02
2.000000000000000000e+01,7.539091207561240959e-02,5.711769128691857739e-03,1.056160410412984845e-03,1.391828919529268602e-03,7.243451057937746462e-01,2.855884564345928869e-03,3.168481231238954535e-03,4.175486758587806241e-03,6.519105952143972038e-02,1.423707000212743878e-01,2.851199998985975981e-02,5.862540000816807151e-02,2.816999331116676331e-04,5.491849995451048017e-02,6.837926497861342767e+00,8.624101581183601928e-01,6.261127514992220000e+01,1.635188566403845911e+01,6.863546992389282231e-01,1.801902572494116939e+01,1.517072086036611367e+01,2.533051778332585879e+00,1.049213472962961857e+00,3.675573078580246289e+00,5.135503812501401200e+00,4.730950280521413198e+00,2.606050858160485983e+00,4.418882077006919928e+00,2.346801607398752765e+00,4.416440966940454516e+00,1.081462643043130667e-01,-2.211662952036555496e-01
2.100000000000000000e+01,1.732266597023556787e-01,3.218131914517278688e-03,8.661787799514961833e-04,1.395937423802906053e-03,1.831458279264820188e+00,1.609065957258639344e-03,2.598536339854488550e-03,4.187812271408718374e-03,1.648312451338338203e-01,1.177771000075154006e-01,3.253800002858042717e-02,4.622289998224005103e-02,1.256999676115810871e-04,3.887019993271678686e-02,8.566491896212639290e+00,1.733310398492059756e-01,5.902858614994029551e+01,2.724835494657557078e+01,2.357986705743312927e-01,1.404808049843744833e+01,1.466182854767538757e+01,5.294169852451421354e-01,1.878553539194813382e+00,3.554100542955151809e+01,1.175071773102947192e+00,3.665536618225782473e+00,2.190813866516722275e+00,4.884245434437513467e+00,2.452346845245726215e+00,3.958418413428217431e+00,-6.537847031584004265e-02,-6.804869284260661733e-03
2.200000000000000000e+01,1.446682872353212135e-01,3.398613414198381304e-03,1.002800242091729998e-03,1.556580625312058977e-03,1.503231532511229540e+00,1.699306707099190652e-03,3.008400726275189778e-03,4.669741875936176713e-03,1.352908379260106542e-01,1.386541000101715326e-01,3.047420002985745668e-02,6.067509995773434639e-02,7.629999890923500061e-05,4.741260001901537180e-02,1.147049646734112116e+01,7.589463114570952351e-01,5.019298414024162014e+01,2.242483055679187487e+01,6.676575438792869965e-01,1.536109274375217026e+01,1.367804095999606773e+01,8.932693838735090708e-01,2.615019912210918562e+00,2.822471281827366596e+01,1.496714534593386858e+01,3.282035312733013743e+00,4.951141573634437520e+00,2.880253989531587955e+00,4.967231751139785878e+00,1.943275076070029028e+00,1.944059787442967147e-01,1.024810356563158886e-01
2.300000000000000000e+01,8.503892414746359874e-02,3.784188165778949557e-03,8.527304889002509068e-04,1.399951498250780451e-03,8.487642678124558415e-01,1.892094082889474779e-03,2.558191466700752720e-03,4.199854494752340919e-03,7.638878410312102685e-02,1.534266000380739570e-01,3.296669997507706285e-02,6.391460000304505229e-02,1.172000193037092686e-04,5.640820000553503633e-02,1.072604110312657610e+01,1.559694350390274098e-01,5.586326140408042562e+01,3.509597512675549424e+00,7.995057337216090465e-01,1.773199622118691465e+01,1.458052312908953851e+01,4.457194466747731454e-01,6.244836588740569905e-01,4.695580317584600039e+00,5.021027238589982566e+00,4.837184960719834947e+00,3.801154774280700366e+00,4.298217197425742597e+00,2.830446196800168401e+00,2.020577491917719293e+00,-2.045185584886342056e-01,1.688856602716750643e-01
2.400000000000000000e+01,1.145511663274711156e-01,6.717883510618305465e-03,1.768009528806979615e-03,2.349402149587245803e-03,1.098222105966436546e+00,3.358941755309152732e-03,5.304028586420938413e-03,7.048206448761737408e-03,9.883998953697928358e-02,1.855448000133037567e-01,4.556850000517442822e-02,6.331609998596832156e-02,1.053999876603484154e-04,7.653629995184019208e-02,4.278023037819044916e+00,5.895883211368815324e-01,4.699586635902980447e+01,1.036442563790338234e+01,7.384626777878821047e-01,1.456122690802846797e+01,1.768967702673371178e+01,2.504799564771868159e+00,1.538395505950137521e+00,3.756386743497737513e+01,8.820854251079838448e+00,3.990025009569635017e+00,4.371766346378844759e+00,4.917306240990881427e+00,3.158840696332356757e+00,2.273397715500425242e+00,-7.443929998294712691e-02,8.495486649312372629e-02
2.500000000000000000e+01,5.972314402952899615e-02,9.444938476203758662e-03,1.879516648068126853e-03,2.361480684746432735e-03,4.697520310331493865e-01,4.722469238101879331e-03,5.638549944204380993e-03,7.084442054239298639e-03,4.227768279298343979e-02,2.022196000325493515e-01,4.164630000013858080e-02,8.186289999866858125e-02,1.414999715052545071e-04,7.854839996434748173e-02,1.265804328261314637e+01,4.107938676087037333e-01,4.611388457017176989e+01,2.193704606178306094e+01,7.484580251658825567e-01,1.345421807774746448e+01,1.830860779354926393e+01,2.095663568333287152e+00,8.252402074038596158e-01,8.212424812715231059e-01,5.238347962473063113e+00,3.908520368051908278e+00,4.703097190798047222e+00,3.823459688749933250e+00,2.934640778582855880e+00,1.558111638940690824e+00,-1.491214700838703056e-01,-2.534787016439872809e-01
2.600000000000000000e+01,6.179142023304846909e-02,9.170253696481356701e-03,1.839431436478621788e-03,2.437718908096146199e-03,4.930538039009276230e-01,4.585126848240678350e-03,5.518294309435865796e-03,7.313156724288438597e-03,4.437484235108348635e-02,1.923434999771416187e-01,3.666379995411261916e-02,8.620230003725737333e-02,1.373999984934926033e-04,6.931799999438226223e-02,4.756065532780544558e+00,4.293513442057463880e-01,5.581621599015853974e+01,1.648098982350625263e+01,2.857745759417336662e-01,1.756579985001702937e+01,1.507448064547384803e+01,1.330743880419183567e+00,2.275268620308493084e+00,1.641736882452169155e+01,4.611989006171448580e+00,3.607796364129971511e+00,2.162812183750815631e+00,2.618007610691400089e+00,2.749905338136379385e+00,4.885553508113334331e+00,1.811680484318279327e-01,-4.330565524582641324e-02
2.700000000000000000e+01,9.358131180436705943e-02,3.961515997402348735e-03,1.080299322496463404e-03,1.643430027025881510e-03,9.269929528566539512e-01,1.980757998701174367e-03,3.240897967489390213e-03,4.930290081077644965e-03,8.342936575709884728e-02,2.088975999504327774e-01,4.465180000988766551e-02,8.973859995603561401e-02,1.683000009506940842e-04,7.430949999252334237e-02,3.729060622033243177e+00,6.818876165300385983e-01,5.448504217353628576e+01,1.244379596756972006e+01,7.987749603579384905e-01,1.352751822970359008e+01,1.737076081582578979e+01,1.326698582055634734e+00,1.547857121639367173e-01,3.127162814388277567e+01,4.614657219510366559e+00,2.629157155550770675e+00,2.559049287779892712e+00,3.034542793453326670e+00,2.024348548551593296e+00,1.518596786383068054e+00,5.779161212678740611e-02,-1.748660077558401582e-01
2.800000000000000000e+01,2.624347191415355232e-02,4.891250038359802078e-03,1.341721023177407622e-04,3.678858276946142146e-04,2.476852567215176160e-01,2.445625019179901039e-03,4.025163069532222866e-04,1.103657483083842535e-03,2.229167310493658516e-02,1.920562999439425766e-01,2.848699997412040830e-02,7.772320002550259233e-02,8.299999171867966652e-05,8.573459996841847897e-02,6.348985851557271687e+00,9.081375356805871935e-01,5.258229842601355131e+01,2.613770291152161462e+01,1.864503650142701821e-02,1.787727336131235489e+01,1.492240446360440664e+01,6.052944257602386191e-01,2.905267523950786135e+00,1.288839377880861470e+01,1.765184975278475221e+01,4.578630485255253291e+00,2.204406987168374243e+00,3.982224464865613989e+00,3.155997221312403678e+00,2.525277197437113763e+00,-3.102849900187570897e-02,-8.070195104611613268e-02
2.900000000000000000e+01,9.690456039910556874e-02,5.013983546876065768e-03,9.206422396647089218e-04,1.405405764682330239e-03,9.713269401402935266e-01,2.506991773438032884e-03,2.761926718994126874e-03,4.216217294046991151e-03,8.741942461262641739e-02,2.212538999738171697e-01,6.795200001215562224e-02,8.618179999757558107e-02,1.343000330962240696e-04,6.696530000772327185e-02,1.003147937632826903e+01,3.618158482893239491e-01,5.943627070862483208e+01,9.972674912847439899e+00,4.015403243849425818e-01,1.369015363302354515e+01,1.762010075812249354e+01,2.201247372434690153e+00,8.654273963810015236e-01,2.011645905703817760e+01,1.407481058499921822e+01,4.421401897434535044e+00,3.434692938755151914e+00,4.380144074029672652e+00,4.013028435520199722e+00,4.807971545513117562e+00,-1.125101088911822922e-01,1.719556281564249001e-01
3.000000000000000000e+01,9.487455199109554038e-02,3.819466707444783837e-03,1.321076117092333463e-03,1.872011250507453570e-03,9.265061837174866088e-01,1.909733353722391919e-03,3.963228351277000606e-03,5.616033751522361145e-03,8.338555653457378758e-02,1.991061000735498965e-01,4.237209999701008201e-02,8.461100002750754356e-02,1.508000423200428486e-04,7.194960000924766064e-02,1.117202160139121148e+01,3.999610636916388628e-01,4.692861329698171602e+01,3.525439378561356918e+00,6.268875041838878337e-01,1.409547589784658506e+01,1.605673904050873801e+01,2.875157134626533217e+00,2.278175474847603077e+00,1.671595633554541749e+01,1.406818590442141570e+01,3.455379866662516619e+00,4.468610180037905444e+00,3.017299946439835789e+00,3.872076590662467233e+00,1.519945216049332526e+00,-2.201292423051405822e-01,2.861249367114447328e-01
